Date,MSCI EUROPE ex UK
1979-06,213.041246
1979-07,217.343122
1979-08,224.887298
1979-09,240.795618
1979-10,221.326303
1979-11,230.532448
1979-12,231.913143
1980-01,236.650443
1980-02,233.731753
1980-03,199.164237
1980-04,222.208867
1980-05,230.756722
1980-06,240.149972
1980-07,241.094845
1980-08,241.0155
1980-09,243.285409
1980-10,243.429103
1980-11,241.731484
1980-12,233.067873
1981-01,218.765858
1981-02,220.874471
1981-03,226.345106
1981-04,218.502421
1981-05,201.290707
1981-06,199.493866
1981-07,195.260224
1981-08,198.818767
1981-09,193.14016
1981-10,199.029603
1981-11,214.357766
1981-12,208.739221
1982-01,207.211912
1982-02,204.709215
1982-03,201.360186
1982-04,208.717189
1982-05,203.563026
1982-06,184.649411
1982-07,186.439716
1982-08,186.24083
1982-09,186.819142
1982-10,188.309519
1982-11,198.916924
1982-12,214.985681
1983-01,218.384384
1983-02,232.483359
1983-03,250.364398
1983-04,261.211869
1983-05,251.222917
1983-06,257.887489
1983-07,258.999948
1983-08,251.283023
1983-09,259.47436
1983-10,262.6601
1983-11,267.894046
1983-12,271.29994
1984-01,282.687433
1984-02,289.6047
1984-03,293.816475
1984-04,288.383427
1984-05,274.146482
1984-06,272.166731
1984-07,253.297902
1984-08,271.99242
1984-09,268.610386
1984-10,270.804258
1984-11,265.797921
1984-12,266.690619
1985-01,284.04942
1985-02,274.695373
1985-03,297.98073
1985-04,307.640836
1985-05,324.209695
1985-06,339.539373
1985-07,364.472317
1985-08,382.792056
1985-09,404.007219
1985-10,449.99618
1985-11,485.611878
1985-12,534.398785
1986-01,550.599846
1986-02,616.172
1986-03,664.23
1986-04,739.173
1986-05,671.614298
1986-06,687.853016
1986-07,712.810325
1986-08,810.347169
1986-09,767.229966
1986-10,767.258043
1986-11,814.889377
1986-12,825.682849
1987-01,835.365681
1987-02,828.443714
1987-03,869.384706
1987-04,889.760509
1987-05,851.43484
1987-06,872.753974
1987-07,910.35393
1987-08,936.130134
1987-09,915.710267
1987-10,758.1255
1987-11,725.741071
1987-12,738.212042
1988-01,690.587078
1988-02,763.908909
1988-03,775.1608
1988-04,785.64177
1988-05,777.090712
1988-06,781.934855
1988-07,780.23907
1988-08,756.870079
1988-09,801.12475
1988-10,882.720013
1988-11,894.909385
1988-12,913.047687
1989-01,904.666486
1989-02,903.745401
1989-03,911.360162
1989-04,945.358584
1989-05,908.351684
1989-06,964.355554
1989-07,1060.154557
1989-08,1054.338314
1989-09,1087.121688
1989-10,1034.535124
1989-11,1093.757526
1989-12,1216.050184
1990-01,1207.397264
1990-02,1181.321654
1990-03,1226.038829
1990-04,1217.48407
1990-05,1278.388345
1990-06,1307.920142
1990-07,1363.14722
1990-08,1195.228662
1990-09,1035.414195
1990-10,1125.691271
1990-11,1107.934426
1990-12,1087.737856
1991-01,1122.217091
1991-02,1225.812262
1991-03,1132.938679
1991-04,1123.605401
1991-05,1174.134246
1991-06,1076.500365
1991-07,1119.568181
1991-08,1135.050458
1991-09,1163.70651
1991-10,1143.441149
1991-11,1135.971368
1991-12,1220.0221242999999
1992-01,1228.1602315
1992-02,1245.6782819999999
1992-03,1219.9537022
1992-04,1239.6448831
1992-05,1310.870694
1992-06,1304.385696
1992-07,1260.1639283
1992-08,1256.2457287
1992-09,1237.500795
1992-10,1160.0704323999998
1992-11,1150.4828975
1992-12,1163.2351777
1993-01,1184.216737
1993-02,1225.949668
1993-03,1273.465082
1993-04,1296.278987
1993-05,1313.8532089999999
1993-06,1291.81471
1993-07,1302.021673
1993-08,1431.029396
1993-09,1434.3856429999998
1993-10,1496.864118416726
1993-11,1442.5963178037732
1993-12,1551.8272295210488
1994-01,1637.1748241110995
1994-02,1593.5614475153052
1994-03,1584.771660087219
1994-04,1655.467916942341
1994-05,1594.4891167764858
1994-06,1566.9134418097585
1994-07,1648.6895538071753
1994-08,1679.6215102779154
1994-09,1619.7707090693157
1994-10,1678.4476535840304
1994-11,1619.6457130734395
1994-12,1633.62223856367
1995-01,1628.0906823864789
1995-02,1680.370007157162
1995-03,1734.34565907378
1995-04,1807.5286476601702
1995-05,1842.8790688195495
1995-06,1869.2677634423817
1995-07,1964.0704919281907
1995-08,1873.8822049108383
1995-09,1931.3347671791676
1995-10,1919.5872209358167
1995-11,1935.2871750830918
1995-12,2002.7486186791145
1996-01,2025.107303891557
1996-02,2073.3697279532134
1996-03,2117.254478858015
1996-04,2121.0528830051417
1996-05,2134.3871770922788
1996-06,2176.5474615450644
1996-07,2130.195647936573
1996-08,2171.6751676757644
1996-09,2216.187489458461
1996-10,2242.0848575428854
1996-11,2349.516260360216
1996-12,2378.1123249376815
1997-01,2424.6705264940515
1997-02,2436.453008515907
1997-03,2542.545508174309
1997-04,2502.4521232809616
1997-05,2606.675535067784
1997-06,2784.9880767766053
1997-07,2916.5622270949502
1997-08,2695.0562933008728
1997-09,2971.241158964413
1997-10,2809.858465826225
1997-11,2868.5094893681185
1997-12,2972.7207197322605
1998-01,3087.7249694421766
1998-02,3343.1422933033273
1998-03,3610.708474360235
1998-04,3709.8465035415993
1998-05,3878.258038130408
1998-06,3914.5593220999904
1998-07,4060.1583723093904
1998-08,3463.0488020146367
1998-09,3296.1271337298726
1998-10,3590.024246613916
1998-11,3795.5012625767995
1998-12,3981.924975029312
1999-01,3961.946334616799
1999-02,3783.4197603368807
1999-03,3791.771365103301
1999-04,3889.6745401397234
1999-05,3717.98228853369
1999-06,3806.768815809258
1999-07,3833.159557800164
1999-08,3898.9695084107943
1999-09,3885.4968383211967
1999-10,4043.3188483428785
1999-11,4180.41651664268
1999-12,4692.164697829511
2000-01,4397.975019579335
2000-02,4772.884804670385
2000-03,4795.494678642988
2000-04,4580.046063478247
2000-05,4594.859753219817
2000-06,4718.582907465259
2000-07,4601.0308629076935
2000-08,4504.8999958590575
2000-09,4257.363482026886
2000-10,4198.18337240497
2000-11,4074.8824035545385
2000-12,4358.080374887225
2001-01,4391.844720059654
2001-02,3967.17330008589
2001-03,3623.139171619347
2001-04,3898.749374914986
2001-05,3687.9994506225053
2001-06,3544.847278816741
2001-07,3556.7965629283635
2001-08,3438.6143153323237
2001-09,3040.672458618194
2001-10,3155.9125284824127
2001-11,3310.9422383223296
2001-12,3399.0969217541333
2002-01,3203.8859343214704
2002-02,3211.2774383082
2002-03,3400.364130216783
2002-04,3359.4651231460907
2002-05,3379.2344030558133
2002-06,3279.3970549813776
2002-07,2829.533969952556
2002-08,2848.7058865735535
2002-09,2423.926624446655
2002-10,2687.741692856007
2002-11,2852.5412496793338
2002-12,2723.6861185003972
2003-01,2635.284831163239
2003-02,2522.831763685971
2003-03,2465.4633914151036
2003-04,2853.091501191907
2003-05,3049.7131298011755
2003-06,3084.2546674179
2003-07,3174.399743404364
2003-08,3178.3925329335216
2003-09,3215.1862300778257
2003-10,3428.622226504348
2003-11,3601.02163612448
2003-12,3911.798382304441
2004-01,3991.1812336641815
2004-02,4072.2313077224962
2004-03,3929.5197735272372
2004-04,3901.609192167155
2004-05,3960.696513650478
2004-06,4047.113631578104
2004-07,3896.1803523538724
2004-08,3887.671029397774
2004-09,4061.9344593024707
2004-10,4236.550808190477
2004-11,4569.726369753192
2004-12,4788.664209843623
2005-01,4670.5794799934565
2005-02,4909.073725240407
2005-03,4791.163031168443
2005-04,4642.046323280662
2005-05,4703.299290429151
2005-06,4765.559830435777
2005-07,5000.5294890793875
2005-08,5032.9568841133
2005-09,5174.928625357988
2005-10,5009.53611519725
2005-11,5132.425885646227
2005-12,5331.796630819198
2006-01,5698.304783835201
2006-02,5726.943725859809
2006-03,5985.483869713202
2006-04,6274.627871784424
2006-05,6089.61884659074
2006-06,6090.9305031440335
2006-07,6159.428817767068
2006-08,6380.950149153367
2006-09,6483.490936603551
2006-10,6738.067259820981
2006-11,7021.113005627349
2006-12,7271.7560519831195
2007-01,7344.3616197773235
2007-02,7309.977288927845
2007-03,7591.25029476973
2007-04,8174.462065735789
2007-05,8342.362214709005
2007-06,8291.35709407663
2007-07,8131.999743863711
2007-08,8033.3276681318475
2007-09,8497.10882443095
2007-10,8839.292941526872
2007-11,8654.47829905965
2007-12,8541.49211199765
2008-01,7592.010132001244
2008-02,7759.1184871096775
2008-03,7887.301282819413
2008-04,8196.59373641412
2008-05,8302.58455595429
2008-06,7491.384013097327
2008-07,7320.555089824621
2008-08,7009.626013631582
2008-09,5946.372377087086
2008-10,4620.160632213786
2008-11,4297.315533984542
2008-12,4694.065373176654
2009-01,4078.058689695593
2009-02,3628.746279896374
2009-03,3938.3615434823832
2009-04,4525.959904750852
2009-05,5056.780738711494
2009-06,4944.260011871102
2009-07,5494.41709865738
2009-08,5862.3844925263475
2009-09,6186.051623325798
2009-10,6046.269247876908
2009-11,6224.834747756031
2009-12,6287.247659799305
2010-01,5883.77132834474
2010-02,5752.04675868771
2010-03,6145.3507771970735
2010-04,5944.084498174439
2010-05,5201.601758497075
2010-06,5204.610684569857
2010-07,5799.024593485243
2010-08,5537.662034361547
2010-09,6204.3340812461465
2010-10,6485.683183539062
2010-11,5910.918595334681
2010-12,6440.742795973487
2011-01,6760.219365751598
2011-02,6951.0308141583355
2011-03,6952.646612475955
2011-04,7555.7478148146
2011-05,7290.194656473766
2011-06,7187.705975179844
2011-07,6828.672772385222
2011-08,6053.113312417028
2011-09,5321.993648447922
2011-10,5968.076734205075
2011-11,5644.063682904708
2011-12,5507.644888798775
2012-01,5804.034261521501
2012-02,6210.785393932404
2012-03,6200.755448621155
2012-04,5957.37370014815
2012-05,5218.390547016618
2012-06,5661.4682439393555
2012-07,5725.525799588177
2012-08,6012.1748717230175
2012-09,6212.231067808343
2012-10,6331.7292256417195
2012-11,6537.672415441218
2012-12,6749.121253602434
2013-01,7216.682110238264
2013-02,7010.425588127008
2013-03,6952.577205146887
2013-04,7319.577881586071
2013-05,7354.299232872861
2013-06,7016.513749166949
2013-07,7562.222720430549
2013-08,7434.641456712549
2013-09,8032.066492596177
2013-10,8407.745891979162
2013-11,8516.861489750796
2013-12,8688.633142900304
2014-01,8372.791322109033
2014-02,8998.825814290556
2014-03,9006.131861514174
2014-04,9163.46328303312
2014-05,9274.197562126206
2014-06,9237.237017460282
2014-07,8779.911888870063
2014-08,8819.56032411541
2014-09,8552.407449536322
2014-10,8315.601612600069
2014-11,8612.388172291743
2014-12,8181.353100732049
2015-01,8221.448358421716
2015-02,8738.622391202714
2015-03,8646.546873904534
2015-04,8939.763305213724
2015-05,8866.225546967848
2015-06,8618.152131338942
2015-07,8942.705280492693
2015-08,8319.23915339989
2015-09,7924.6526758226155
2015-10,8488.428362578063
2015-11,8351.22311445059
2015-12,8187.483954875385
2016-01,7629.6432993771905
2016-02,7467.123421437986
2016-03,7990.423166804573
2016-04,8170.05118286824
2016-05,8140.488740091757
2016-06,7753.216598175507
2016-07,8127.789055927058
2016-08,8157.603496100248
2016-09,8225.049727334208
2016-10,8022.707432312437
2016-11,7768.812962926278
2016-12,8213.064440566042
2017-01,8411.040782553615
2017-02,8485.756625889204
2017-03,8922.582762451997
2017-04,9303.110041
2017-05,9788.886558
2017-06,9717.821285
2017-07,10024.002723
2017-08,10063.384104
2017-09,10397.043241
2017-10,10442.123887
2017-11,10471.560191
2017-12,10497.267882
2018-01,11161.998538
2018-02,10529.871814
2018-03,10383.951876083018
2018-04,10615.08651186569
2018-05,10195.729221807309
2018-06,10143.925864706967
2018-07,10581.581416571873
2018-08,10344.05320232242
2018-09,10329.088127692772
2018-10,9507.219720393725
2018-11,9447.669358015364
2018-12,8983.78407080984
2019-01,9561.89322420938
2019-02,9882.992029499168
2019-03,9941.157684357473
2019-04,10366.933925293752
2019-05,9850.150603609138
2019-06,10579.46003526593
2019-07,10371.752024499709
2019-08,10193.71414120047
2019-09,10422.271928067286
2019-10,10773.73601638706
2019-11,10929.450392355962
2019-12,11310.497842744422
2020-01,11079.07332471854
2020-02,10155.481102927051
2020-03,8752.061594237875
2020-04,9308.77107530509
2020-05,9849.330168604041
2020-06,10333.572453976989
2020-07,10808.751717511775
2020-08,11272.990003524783
2020-09,10951.283857713292
2020-10,10318.32052727808
2020-11,12083.367766535966
2020-12,12627.782621866338
2021-01,12402.611340044206
2021-02,12666.046536136026
2021-03,13086.290481449325
2021-04,13709.76408081128
2021-05,14312.879621387798
2021-06,14167.161989598491
2021-07,14469.843485224801
2021-08,14716.754571630658
2021-09,13913.068369434473
2021-10,14566.376689198643
2021-11,13826.730755588804
2021-12,14713.279135852026
2022-01,13810.10939508819
2022-02,13272.698006548353
2022-03,13269.664723644117
2022-04,12444.384574636146
2022-05,12534.309847304083
2022-06,11236.730241354348
2022-07,11840.210405811407
2022-08,11081.435156553593
2022-09,10125.628727884003
2022-10,10890.235249165285
2022-11,12149.477667876205
2022-12,12171.027899812965
2023-01,13311.01557385884
2023-02,13196.033332227644
2023-03,13650.533260860748
2023-04,14199.20034832504
2023-05,13430.261757129563
2023-06,14115.634452294791
