Date,MSCI FAR EAST
2019-09,8321.394654650157
2019-10,8726.010873033007
2019-11,8747.045725337159
2019-12,8955.055574243128
2020-01,8791.935212771214
2020-02,8075.091555197515
2020-03,7413.577689567645
2020-04,7838.274142257339
2020-05,8138.609422004594
2020-06,8246.584840979867
2020-07,8129.044202060204
2020-08,8733.139980315953
2020-09,8754.152335195082
2020-10,8615.417203807618
2020-11,9698.198402312248
2020-12,10104.98556232316
2021-01,10044.099530285495
2021-02,10236.944724060073
2021-03,10364.34403058729
2021-04,10279.431535150785
2021-05,10430.265467109039
2021-06,10372.770950774517
2021-07,10232.300581900889
2021-08,10485.135589168103
2021-09,10667.478352524764
2021-10,10394.125907343194
2021-11,10083.290082055542
2021-12,10253.913735446184
2022-01,9817.4237386444
2022-02,9689.89422068943
2022-03,9664.986275088258
2022-04,8861.009193717735
2022-05,8996.692187198965
2022-06,8383.721519283954
2022-07,8766.354175320083
2022-08,8537.149157258795
2022-09,7683.446217662573
2022-10,7768.444531277408
2022-11,8639.787256843474
2022-12,8731.28751810643
2023-01,9256.196172410337
2023-02,8860.642460857629
2023-03,9204.297799626174
2023-04,9234.498387412386
2023-05,9259.395977573657
2023-06,9622.039327626417
