Date,MSCI FM (FRONTIER MARKETS)
2020-04,741.3181929592985
2020-05,784.0415524804539
2020-06,797.278825351332
2020-07,792.2086772242102
2020-08,857.9594466564296
2020-09,864.3808343708248
2020-10,873.5328839994133
2020-11,909.3455221377938
2020-12,961.4111036267283
2021-01,965.0925713721177
2021-02,966.3970144858167
2021-03,969.5734643686737
2021-04,1036.517179239521
2021-05,1078.5269411225645
2021-06,1107.4389315263732
2021-07,1104.5914045336701
2021-08,1132.4104085320964
2021-09,1146.0179100240189
2021-10,1192.1003260032592
2021-11,1137.4162066851593
2021-12,1154.510919279655
2022-01,1113.8020708165727
2022-02,1064.8233706234885
2022-03,1064.2367498902079
2022-04,1035.4840843256663
2022-05,969.9902802169352
2022-06,918.4702256050165
2022-07,930.5980321576271
2022-08,947.7832870215929
2022-09,860.2230641793483
2022-10,823.3367563406979
2022-11,866.4478606391409
2022-12,853.7537044846233
2023-01,892.2052792174428
2023-02,870.1419345205958
2023-03,880.8788463588476
2023-04,885.7063948864507
2023-05,881.066725405467
2023-06,901.2731678282247
