Date,MSCI JORDAN + EGYPT + MOROCCO
2017-08,1332.322117
2017-09,1299.517582
2017-10,1297.654081
2017-11,1312.394384
2017-12,1311.063615
2018-01,1369.213036
2018-02,1364.260023
2018-03,1424.477021
2018-04,1435.2517629197202
2018-05,1308.5493827827318
2018-06,1306.9287018832536
2018-07,1286.8446748779181
2018-08,1286.6528081924905
2018-09,1243.6779390122933
2018-10,1176.1866992553296
2018-11,1184.5453234204008
2018-12,1190.0553966057446
2019-01,1243.1274141673314
2019-02,1246.3943404965505
2019-03,1223.4694687476958
2019-04,1293.5268374336608
2019-05,1263.196469945982
2019-06,1318.2506080747205
2019-07,1335.076995118125
2019-08,1389.201404733482
2019-09,1365.9278017397178
2019-10,1393.6367873883364
2019-11,1393.8943429038538
2019-12,1453.1262168508574
2020-01,1489.9245060205712
2020-02,1448.3647850766354
2020-03,1079.2865381591475
2020-04,1129.5107315723546
2020-05,1138.2637336439839
2020-06,1163.6804239965127
2020-07,1185.1283705952605
2020-08,1246.0072174885454
2020-09,1220.9386406098133
2020-10,1222.260458941715
2020-11,1261.7050090779057
2020-12,1290.1383527304133
2021-01,1346.275770832308
2021-02,1316.326737083156
2021-03,1263.8091943287957
2021-04,1295.2213344251784
2021-05,1311.2676061221703
2021-06,1302.8328513161832
2021-07,1329.2454619013124
2021-08,1378.9622456684594
2021-09,1372.5507153481628
2021-10,1458.4889834659357
2021-11,1402.8091986611298
2021-12,1436.6331922770678
2022-01,1421.0211528570983
2022-02,1324.374025103175
2022-03,1241.7949650042185
2022-04,1232.2149971106212
2022-05,1159.5996306197567
2022-06,1092.6308080191077
2022-07,1086.2889741893089
2022-08,1083.7094072679756
2022-09,1017.1184778250342
2022-10,971.9107757859869
2022-11,1070.6033928333225
2022-12,1084.4242476354384
2023-01,1074.6519941717172
2023-02,1113.8845828705555
2023-03,1065.327593521365
2023-04,1095.2829027871182
2023-05,1120.8110307925783
2023-06,1172.1628938163678
