Date,MSCI ACWI ex CHILE
2013-03,1816.932959252264
2013-04,1870.3275075267588
2013-05,1867.0830613380012
2013-06,1813.3391589586151
2013-07,1901.281381230602
2013-08,1862.4569255969382
2013-09,1959.3545782544181
2013-10,2038.667258254725
2013-11,2068.6945045033945
2013-12,2105.2097284867677
2014-01,2021.767489097062
2014-02,2120.333664423507
2014-03,2130.8061608175435
2014-04,2152.196914507716
2014-05,2199.8430970073555
2014-06,2242.3251103901553
2014-07,2215.9437092521634
2014-08,2265.899431178904
2014-09,2193.2741389140415
2014-10,2209.26383505401
2014-11,2247.247305721194
2014-12,2204.8885686140175
2015-01,2170.9852217877155
2015-02,2292.8266738080592
2015-03,2258.6790290958925
2015-04,2325.252982709449
2015-05,2324.0556499025097
2015-06,2270.5134513471667
2015-07,2291.240574951131
2015-08,2135.011356279048
2015-09,2058.6563450890817
2015-10,2220.830551197046
2015-11,2203.663220292979
2015-12,2164.7750798283314
2016-01,2034.5530499455726
2016-02,2021.6317377037865
2016-03,2172.7709236358073
2016-04,2206.0911514341024
2016-05,2210.925157769946
2016-06,2198.523156899745
2016-07,2293.9742773568273
2016-08,2302.9402178776213
2016-09,2318.0853014180166
2016-10,2279.0195187859995
2016-11,2297.632394820682
2016-12,2348.2536934204945
2017-01,2412.907927894226
2017-02,2481.6647898950114
2017-03,2513.474085121993
2017-04,2553.895018
2017-05,2612.60399
2017-06,2625.627841
2017-07,2699.754641
2017-08,2711.23175
2017-09,2764.629323
2017-10,2822.556854
2017-11,2879.069217
2017-12,2925.922586
2018-01,3091.529941
2018-02,2962.870853
2018-03,2901.200082
2018-04,2930.5110112969433
2018-05,2937.0464441394993
2018-06,2922.491904601778
2018-07,3011.519839890316
2018-08,3036.9142768902993
2018-09,3051.2834040179246
2018-10,2823.3276117373957
2018-11,2865.894884487687
2018-12,2665.07218
2019-01,2876.175381878904
2019-02,2954.625293901695
2019-03,2993.836581639613
2019-04,3096.7005220629176
2019-05,2915.676801061388
2019-06,3107.982645180593
2019-07,3118.342122721865
2019-08,3045.9234297642565
2019-09,3111.3435581358412
2019-10,3197.6332698200113
2019-11,3277.5050665668773
2019-12,3394.0811780523118
2020-01,3357.6417188136766
2020-02,3087.863521698459
2020-03,2672.969544645586
2020-04,2960.554771788162
2020-05,3091.3289749513447
2020-06,3191.3883036112206
2020-07,3361.3287632031306
2020-08,3568.7284564749384
2020-09,3455.0021686872237
2020-10,3371.809070361047
2020-11,3788.6260614008465
2020-12,3965.7421178638965
2021-01,3948.6504536113844
2021-02,4041.142317208969
2021-03,4151.063260168009
2021-04,4334.680806713131
2021-05,4404.609395094924
2021-06,4464.182932
2021-07,4496.402061665934
2021-08,4610.292809504478
2021-09,4421.873402499549
2021-10,4648.97658518728
2021-11,4538.259801
2021-12,4721.5170588067385
2022-01,4490.174417381779
2022-02,4375.415625995838
2022-03,4472.555867310074
2022-04,4116.333552059227
2022-05,4123.673402392726
2022-06,3778.0392202849
2022-07,4043.086622807619
2022-08,3895.6557328989975
2022-09,3524.3895823241437
2022-10,3738.0490808880513
2022-11,4029.740089239219
2022-12,3872.716752560088
2023-01,4151.195177746805
2023-02,4033.7137836852544
2023-03,4160.968139733909
2023-04,4222.836665670834
2023-05,4180.635044515221
2023-06,4425.160644714754
