Date,MSCI EM LATIN AMERICA ex BRAZIL
2009-04,3537.4255320358006
2009-05,4165.8288059846345
2009-06,4231.142041539221
2009-07,4631.165461675652
2009-08,4772.154112421376
2009-09,5032.595667752122
2009-10,4991.837854564325
2009-11,5436.347582486929
2009-12,5605.810659364108
2010-01,5390.999754856673
2010-02,5573.976987004344
2010-03,5938.654892530989
2010-04,5994.762079994603
2010-05,5733.400158922623
2010-06,5674.131248501577
2010-07,6136.467578873539
2010-08,6140.073022140499
2010-09,6772.802470278975
2010-10,7255.424679622778
2010-11,7215.94209809345
2010-12,7558.7014029230995
2011-01,7183.095758599566
2011-02,7172.279319960762
2011-03,7363.228583302507
2011-04,7589.83458225103
2011-05,7460.512994683666
2011-06,7433.4406927901955
2011-07,7322.342004451464
2011-08,7095.511038942542
2011-09,5986.797258024213
2011-10,6825.333878252641
2011-11,6554.1594316964865
2011-12,6498.90076269493
2012-01,7012.289406885613
2012-02,7332.7989203785
2012-03,7546.2139739388
2012-04,7593.484245195117
2012-05,6762.863076280313
2012-06,7317.220439390961
2012-07,7403.661954518761
2012-08,7259.133103084516
2012-09,7653.215891174542
2012-10,7680.6856619924565
2012-11,7699.304570608144
2012-12,8069.231857724651
2013-01,8469.608428063944
2013-02,8205.175739609567
2013-03,8337.838783850697
2013-04,8078.481580254148
2013-05,7549.404333082293
2013-06,7238.790058954633
2013-07,7213.165651052603
2013-08,6896.597057747407
2013-09,7151.60645574043
2013-10,7368.587690934457
2013-11,7270.966759069854
2013-12,7303.721206726859
2014-01,6718.626503705809
2014-02,6698.063978554737
2014-03,7105.897707856946
2014-04,7194.576310018842
2014-05,7359.815022970298
2014-06,7538.494400912641
2014-07,7534.699055836716
2014-08,7815.761579511512
2014-09,7442.639865548578
2014-10,7376.187995570043
2014-11,7047.358626732824
2014-12,6572.770048298911
2015-01,6185.807294462711
2015-02,6545.841947748727
2015-03,6335.700924154888
2015-04,6567.841123423135
2015-05,6465.428040697396
2015-06,6340.462200386109
2015-07,6085.77025340276
2015-08,5673.7630992308095
2015-09,5466.852211738731
2015-10,5843.277015908006
2015-11,5549.029425096666
2015-12,5348.701546891854
2016-01,5228.7223873614785
2016-02,5321.373098822565
2016-03,5951.445647723181
2016-04,6049.477691205705
2016-05,5585.0743547907505
2016-06,5771.993313093636
2016-07,5791.581294267251
2016-08,5819.153722377735
2016-09,5685.3563570497
2016-10,5950.055952799926
2016-11,5370.872723710819
2016-12,5421.543612783824
2017-01,5602.533902533029
2017-02,5737.1822820737125
2017-03,6206.633218301292
2017-04,6212.964006
2017-05,6290.282112
2017-06,6516.492149
2017-07,6853.641676
2017-08,7028.21644
2017-09,6900.342403
2017-10,6623.807905
2017-11,6436.532004
2017-12,6710.958152
2018-01,7257.176651
2018-02,6825.534405
2018-03,6856.215807
2018-04,7053.052767416963
2018-05,6299.8107323074055
2018-06,6552.893549834663
2018-07,6957.573175441623
2018-08,6631.35847398562
2018-09,6768.215370552805
2018-10,5832.882126088381
2018-11,5685.297829598696
2018-12,5733.1325012729085
2019-01,6334.751217186875
2019-02,6180.768943655874
2019-03,6159.547236112585
2019-04,6304.085266092053
2019-05,5824.102613125082
2019-06,6184.1844428442855
2019-07,5947.244368541169
2019-08,5579.81864188516
2019-09,5737.432205020591
2019-10,5809.4075819139425
2019-11,5598.313969044599
2019-12,5972.674560563075
2020-01,5854.543783159384
2020-02,5249.135676705554
2020-03,3788.2675073958076
2020-04,4082.194256761647
2020-05,4223.475458244635
2020-06,4292.732713593063
2020-07,4511.3421125211935
2020-08,4468.338040021877
2020-09,4398.471916067281
2020-10,4456.08093391995
2020-11,5294.860073612234
2020-12,5769.387454156637
2021-01,5498.715652725637
2021-02,5661.506545796348
2021-03,5958.6451858925475
2021-04,5921.92883642622
2021-05,6234.389969355755
2021-06,6100.9522499808845
2021-07,6104.556137164506
2021-08,6508.948668684944
2021-09,6134.565293794366
2021-10,6166.50232558298
2021-11,5858.602295526985
2021-12,6349.448751045867
2022-01,6299.993679326895
2022-02,6619.2378409145185
2022-03,7288.128673730791
2022-04,6440.900014296808
2022-05,6951.204618127864
2022-06,6036.48094537303
2022-07,6169.238281759972
2022-08,5962.895965078442
2022-09,5776.941776230427
2022-10,6446.5227185325775
2022-11,6863.182545147425
2022-12,6480.020796744249
2023-01,7431.138555100449
2023-02,7312.1101900386875
2023-03,7496.762425982038
2023-04,7629.775058461199
2023-05,7427.921065914533
2023-06,7923.1356422146755
