Date,MSCI ACWI ex EMU
2011-10,207.93182231925783
2011-11,202.5173423816652
2011-12,203.04800030608058
2012-01,214.79931547213988
2012-02,225.36157706551833
2012-03,227.29265404380686
2012-04,225.98915617156996
2012-05,206.88135844704397
2012-06,216.30973914832418
2012-07,219.68408974828526
2012-08,223.5805883685377
2012-09,230.66401007077235
2012-10,228.39858069648312
2012-11,230.93643419329464
2012-12,235.87334658493506
2013-01,246.3883192043823
2013-02,247.8082306727474
2013-03,253.47455435887986
2013-04,260.03604005537613
2013-05,258.9470947573218
2013-06,252.1633302293494
2013-07,263.2087590535629
2013-08,257.7452075581597
2013-09,270.0333429611515
2013-10,280.33017880585476
2013-11,284.40046327803645
2013-12,289.29654526239955
2014-01,277.9012967619147
2014-02,290.59506518293097
2014-03,292.19013700481173
2014-04,294.81981470091506
2014-05,301.7266461706725
2014-06,308.47104878206903
2014-07,306.55583687148294
2014-08,314.27822726711526
2014-09,304.23947051018536
2014-10,307.9264701581211
2014-11,312.30853922253925
2014-12,307.58985764712526
2015-01,302.24609572325943
2015-02,318.84871020386555
2015-03,314.04368893600974
2015-04,323.31688290891753
2015-05,323.66797924747146
2015-06,316.1910662240057
2015-07,317.9777308183788
2015-08,296.4253879938945
2015-09,286.31298437695426
2015-10,308.62507746335507
2015-11,306.49756702567777
2015-12,301.5538450011341
2016-01,283.66929654096623
2016-02,282.5312168402284
2016-03,303.5586091587099
2016-04,308.0979916865094
2016-05,308.9480864691347
2016-06,309.20464537224234
2016-07,322.1300012541896
2016-08,323.16898693932006
2016-09,325.18843129311284
2016-10,319.55732253568044
2016-11,323.68913118344574
2016-12,329.37144436870926
2017-01,338.9245247330624
2017-02,349.29591415997885
2017-03,351.95402806180834
2017-04,356.536779
2017-05,363.483972
2017-06,365.984362
2017-07,375.956071
2017-08,377.599955
2017-09,384.16568
2017-10,392.780591
2017-11,401.378231
2017-12,408.864792
2018-01,431.340278
2018-02,414.226696
2018-03,405.200859
2018-04,408.22621084322117
2018-05,411.3956661140191
2018-06,409.4717617292668
2018-07,421.6426620580419
2018-08,427.11796531686025
2018-09,429.5843454619175
2018-10,398.0816149729517
2018-11,405.1230847354437
2018-12,375.885727
2019-01,406.1664464106598
2019-02,417.02387749176825
2019-03,423.1441668979158
2019-04,436.909452232733
2019-05,411.44543432282603
2019-06,438.1977584441462
2019-07,440.73841084836675
2019-08,430.4683476405968
2019-09,439.4743269292018
2019-10,451.2376888683915
2019-11,462.92883568475975
2019-12,479.71018670898513
2020-01,475.4630141823839
2020-02,437.5685597361337
2020-03,380.45682081962815
2020-04,423.01340874672485
2020-05,440.84124344465937
2020-06,453.97369542190194
2020-07,478.80859556486286
2020-08,508.95551204347305
2020-09,492.98869776274546
2020-10,482.878136623956
2020-11,539.1513635566711
2020-12,564.5667751152262
2021-01,562.972246365954
2021-02,575.5690485539895
2021-03,590.9658478473374
2021-04,616.866487100558
2021-05,625.2287098808241
2021-06,635.650714
2021-07,639.8512714183373
2021-08,656.3912052156559
2021-09,630.1221356080708
2021-10,663.1167653435343
2021-11,649.484181
2021-12,674.5438432165768
2022-01,641.5069543238553
2022-02,626.544020909791
2022-03,642.5623375207156
2022-04,590.8085722884687
2022-05,590.7776981308708
2022-06,542.7006194491979
2022-07,581.8205207710329
2022-08,561.8763917327524
2022-09,507.9641072489056
2022-10,537.6160733748665
2022-11,577.3366910657646
2022-12,552.9452146701027
2023-01,590.5633769286208
2023-02,572.6910145187727
2023-03,590.7202070776073
2023-04,598.4942356344689
2023-05,595.0817726539951
2023-06,629.6653088633728
