Date,MSCI WORLD ex CANADA
1978-11,167.831016
1978-12,173.548699
1979-01,178.22469
1979-02,174.798708
1979-03,181.838773
1979-04,181.576849
1979-05,178.30542
1979-06,183.336732
1979-07,185.422001
1979-08,192.576256
1979-09,196.750033
1979-10,182.626874
1979-11,187.967996
1979-12,192.864318
1980-01,203.89381
1980-02,202.771906
1980-03,182.605607
1980-04,195.133638
1980-05,204.63385
1980-06,214.44449
1980-07,221.17771
1980-08,225.823269
1980-09,233.349603
1980-10,241.176734
1980-11,251.558035
1980-12,246.818152
1981-01,239.698189
1981-02,240.981718
1981-03,249.382853
1981-04,250.04017
1981-05,244.726259
1981-06,244.582425
1981-07,241.326411
1981-08,236.6119
1981-09,219.904507
1981-10,227.465739
1981-11,244.091051
1981-12,239.489111
1982-01,237.008435
1982-02,223.034512
1982-03,217.441527
1982-04,228.813905
1982-05,223.246492
1982-06,214.118741
1982-07,211.061167
1982-08,225.819856
1982-09,227.244579
1982-10,242.698815
1982-11,256.156136
1982-12,267.423401
1983-01,273.251321
1983-02,279.037627
1983-03,289.204984
1983-04,309.678168
1983-05,306.410139
1983-06,316.406577
1983-07,310.658336
1983-08,312.568376
1983-09,319.233312
1983-10,316.421228
1983-11,323.98063
1983-12,328.561687
1984-01,332.385548
1984-02,327.061133
1984-03,343.776007
1984-04,343.062406
1984-05,317.131424
1984-06,320.459819
1984-07,309.344298
1984-08,340.032429
1984-09,339.042019
1984-10,343.304544
1984-11,342.169178
1984-12,349.320307
1985-01,368.705947
1985-02,370.315583
1985-03,383.505193
1985-04,382.517838
1985-05,402.692139
1985-06,410.465458
1985-07,418.686399
1985-08,422.64732
1985-09,427.215957
1985-10,450.990748
1985-11,476.247166
1985-12,499.494917
1986-01,508.101285
1986-02,555.406783
1986-03,610.015026
1986-04,627.144517
1986-05,625.221539
1986-06,651.602832
1986-07,657.987849
1986-08,716.455486
1986-09,687.591247
1986-10,675.230967
1986-11,704.564072
1986-12,718.82707
1987-01,802.977515
1987-02,829.276672
1987-03,880.055087
1987-04,934.01198
1987-05,935.63531
1987-06,934.48536
1987-07,951.681125
1987-08,1009.692128
1987-09,992.181051
1987-10,825.220531
1987-11,805.31541
1987-12,839.715062
1988-01,861.184799
1988-02,911.146676
1988-03,938.471094
1988-04,950.388569
1988-05,931.968395
1988-06,928.764904
1988-07,947.381871
1988-08,895.421611
1988-09,934.079688
1988-10,997.252694
1988-11,1033.15615
1988-12,1042.155869
1989-01,1078.800067
1989-02,1072.908025
1989-03,1065.709627
1989-04,1090.372052
1989-05,1062.9094
1989-06,1050.097959
1989-07,1170.012279
1989-08,1140.557213
1989-09,1174.421879
1989-10,1134.321279
1989-11,1180.77082
1989-12,1219.312569
1990-01,1164.103423
1990-02,1112.979405
1990-03,1043.806089
1990-04,1030.806928
1990-05,1140.440929
1990-06,1132.392323
1990-07,1142.546941
1990-08,1034.467246
1990-09,923.771398
1990-10,1013.686056
1990-11,996.038496
1990-12,1016.456449
1991-01,1054.888798
1991-02,1153.470725
1991-03,1118.780473
1991-04,1127.608983
1991-05,1152.922603
1991-06,1080.707655
1991-07,1132.911508
1991-08,1129.011003
1991-09,1160.505957
1991-10,1178.609159
1991-11,1126.809106
1991-12,1211.284975
1992-01,1188.010178
1992-02,1167.398271
1992-03,1112.8549759999999
1992-04,1129.379788
1992-05,1175.617474
1992-06,1135.299873
1992-07,1137.781158
1992-08,1167.1193600000001
1992-09,1158.724535
1992-10,1126.128277
1992-11,1148.3339019999999
1992-12,1157.310497
1993-01,1162.031785
1993-02,1188.863711
1993-03,1258.922742
1993-04,1317.822336
1993-05,1348.675374
1993-06,1337.528881
1993-07,1366.169618
1993-08,1430.221401
1993-09,1404.986041
1993-10,1441.9335339601853
1993-11,1359.4768119324942
1993-12,1426.3197437296076
1994-01,1520.7208548523606
1994-02,1502.6254963935844
1994-03,1438.1016094008098
1994-04,1484.25573047144
1994-05,1487.999610004455
1994-06,1486.2448455882914
1994-07,1513.8875265028616
1994-08,1558.8483693743142
1994-09,1516.4332283892115
1994-10,1561.3147022805383
1994-11,1494.2977167588688
1994-12,1508.7893208086393
1995-01,1487.651873141146
1995-02,1508.2943373709072
1995-03,1581.489679075992
1995-04,1637.5390894635389
1995-05,1650.6375805846344
1995-06,1649.7686471931238
1995-07,1733.8885835282647
1995-08,1694.6549997657246
1995-09,1745.6627600813438
1995-10,1718.200681913935
1995-11,1778.0766792142501
1995-12,1831.1822287513623
1996-01,1863.24590276787
1996-02,1875.5671466752276
1996-03,1906.983338834066
1996-04,1951.3860388038252
1996-05,1952.729737089459
1996-06,1964.4284383956297
1996-07,1895.1381787556
1996-08,1915.8446563460047
1996-09,1991.1757183034656
1996-10,2002.0485375445783
1996-11,2113.727919427569
1996-12,2081.2799352813877
1997-01,2104.661181487635
1997-02,2130.3414196970025
1997-03,2090.3183461928406
1997-04,2159.5040528549907
1997-05,2291.942704895838
1997-06,2408.5300594520336
1997-07,2518.664221635526
1997-08,2349.616954315782
1997-09,2477.3819345379557
1997-10,2347.0131306640706
1997-11,2391.859736377879
1997-12,2420.595877585476
1998-01,2491.2097090482553
1998-02,2659.088116960466
1998-03,2769.648921711702
1998-04,2797.45606894778
1998-05,2762.767583354084
1998-06,2833.074817425221
1998-07,2833.414729970795
1998-08,2461.001386109949
1998-09,2504.552375758203
1998-10,2730.8611110609186
1998-11,2894.903546818258
1998-12,3038.847947196267
1999-01,3102.382865147488
1999-02,3022.132580495528
1999-03,3148.419592711232
1999-04,3269.212354566271
1999-05,3149.5770572870283
1999-06,3297.2300837429784
1999-07,3287.0929016936384
1999-08,3282.6831623590833
1999-09,3248.798689477181
1999-10,3417.0972727690796
1999-11,3512.813121508409
1999-12,3792.96737735131
2000-01,3571.205560977322
2000-02,3576.6551362736845
2000-03,3822.554422554752
2000-04,3660.8147246523804
2000-05,3568.04279522734
2000-06,3680.594373764736
2000-07,3571.713096475023
2000-08,3682.719940357758
2000-09,3492.4627905310313
2000-10,3441.272224722756
2000-11,3235.3617651810114
2000-12,3287.5284821380874
2001-01,3349.02868082656
2001-02,3072.6212612018453
2001-03,2873.1872679727408
2001-04,3086.4534208872615
2001-05,3046.0124922895275
2001-06,2951.467906632633
2001-07,2912.0317147362684
2001-08,2773.230440588957
2001-09,2529.535531744822
2001-10,2579.233098378778
2001-11,2730.398045826176
2001-12,2747.3195173418135
2002-01,2662.978432468703
2002-02,2640.4585699758886
2002-03,2758.232991737127
2002-04,2663.9829928529407
2002-05,2668.9645259763142
2002-06,2507.324562175956
2002-07,2297.9100685490594
2002-08,2302.1492567567198
2002-09,2047.9484192932218
2002-10,2201.541881221781
2002-11,2320.5086167482605
2002-12,2206.387405543963
2003-01,2136.6960447346473
2003-02,2097.3172833211684
2003-03,2092.0979884849135
2003-04,2280.332378442465
2003-05,2410.137144408557
2003-06,2452.168862403108
2003-07,2503.527981013345
2003-08,2556.245734680309
2003-09,2571.7061057742167
2003-10,2724.2791587514103
2003-11,2765.3486536163564
2003-12,2940.1455280773985
2004-01,2988.414240186884
2004-02,3039.131070181424
2004-03,3020.005833292544
2004-04,2965.0625177064526
2004-05,2992.7823297671102
2004-06,3053.7680686663866
2004-07,2952.0906582685793
2004-08,2966.5921537633867
2004-09,3018.909172606059
2004-10,3090.045720671937
2004-11,3254.866948128552
2004-12,3382.0479002931193
2005-01,3308.3116334643837
2005-02,3411.43778943756
2005-03,3343.141527
2005-04,3276.1348341721327
2005-05,3336.4796312068547
2005-06,3361.434727857645
2005-07,3477.4301170010417
2005-08,3499.2977376702956
2005-09,3587.018791489137
2005-10,3506.9361231192524
2005-11,3623.2389052285766
2005-12,3701.6388262638993
2006-01,3862.0057994245285
2006-02,3860.2826607372767
2006-03,3947.8540267615876
2006-04,4067.28989282564
2006-05,3930.964332442052
2006-06,3933.8964880050626
2006-07,3959.8180319701264
2006-08,4062.4606021355407
2006-09,4118.739245384322
2006-10,4269.071760556195
2006-11,4375.196273501025
2006-12,4469.742674681082
2007-01,4525.7776990480115
2007-02,4502.113668845846
2007-03,4584.93105375958
2007-04,4787.152215123113
2007-05,4915.899609862046
2007-06,4878.5065029856605
2007-07,4767.633777895169
2007-08,4765.919810550486
2007-09,4984.448876494719
2007-10,5125.17695418802
2007-11,4933.896660734474
2007-12,4863.425074583892
2008-01,4490.228960152597
2008-02,4453.235668529931
2008-03,4422.250805400118
2008-04,4654.756194498373
2008-05,4718.827599252893
2008-06,4334.02098417508
2008-07,4239.339590000592
2008-08,4182.904650372139
2008-09,3691.959023188991
2008-10,3006.997627220845
2008-11,2813.397481128292
2008-12,2912.371974347652
2009-01,2651.93648699441
2009-02,2380.4243011420003
2009-03,2559.4243644331013
2009-04,2846.0959006049793
2009-05,3091.7698361652824
2009-06,3087.141292625814
2009-07,3344.163632248658
2009-08,3493.116038533917
2009-09,3628.0893858514023
2009-10,3570.4214916359992
2009-11,3712.4183014155897
2009-12,3777.7653790360528
2010-01,3628.6187093841736
2010-02,3673.4911994412573
2010-03,3899.0888066309044
2010-04,3898.9161802126487
2010-05,3523.6090516213508
2010-06,3407.567458151718
2010-07,3686.4610282428052
2010-08,3546.7896279648144
2010-09,3881.8731593280763
2010-10,4028.668765605721
2010-11,3936.6879975361685
2010-12,4226.643812218543
2011-01,4327.503934482982
2011-02,4471.921768428838
2011-03,4427.366792132461
2011-04,4626.3431763565795
2011-05,4537.8093112660745
2011-06,4470.995805241258
2011-07,4391.918774769495
2011-08,4075.728300775507
2011-09,3738.4758643424757
2011-10,4126.0094858962875
2011-11,4028.277750332476
2011-12,4032.385954172198
2012-01,4233.876899483739
2012-02,4446.1903970077055
2012-03,4516.193505411102
2012-04,4464.225808540492
2012-05,4088.2820583344246
2012-06,4303.356635233777
2012-07,4357.853677094605
2012-08,4466.677949536497
2012-09,4589.135869238489
2012-10,4558.629765426877
2012-11,4623.731339270932
2012-12,4713.957840851782
2013-01,4963.425335714862
2013-02,4978.047582201477
2013-03,5101.519380126309
2013-04,5276.974474822152
2013-05,5285.0885157831435
2013-06,5164.359853658933
2013-07,5436.588417565572
2013-08,5320.348028798966
2013-09,5591.0215703231
2013-10,5812.670642020616
2013-11,5925.543231710318
2013-12,6054.359801659304
2014-01,5832.483119356662
2014-02,6129.034679858293
2014-03,6137.9018747921655
2014-04,6199.205446003925
2014-05,6330.403660937278
2014-06,6434.834677195184
2014-07,6329.184103593686
2014-08,6471.147700996348
2014-09,6309.385321945397
2014-10,6361.411201463431
2014-11,6497.3621776097825
2014-12,6396.240295450936
2015-01,6299.029297518696
2015-02,6671.060327257073
2015-03,6575.275083140666
2015-04,6721.316171322171
2015-05,6763.348268806237
2015-06,6610.351938641733
2015-07,6744.7009003942
2015-08,6300.762223450344
2015-09,6073.432977120667
2015-10,6564.262099745039
2015-11,6538.115137893323
2015-12,6437.302084640371
2016-01,6046.725904334154
2016-02,5996.452234743324
2016-03,6401.1735755976
2016-04,6494.84666251177
2016-05,6547.169493528743
2016-06,6473.340269339317
2016-07,6750.504841525147
2016-08,6758.9777297815635
2016-09,6796.430189125913
2016-10,6663.943714852375
2016-11,6761.048925666957
2016-12,6926.819417057701
2017-01,7092.0920020989
2017-02,7304.200412884472
2017-03,7388.997724274335
2017-04,7512.003064
2017-05,7684.697715
2017-06,7709.793789
2017-07,7892.258412
2017-08,7907.380079
2017-09,8083.643841
2017-10,8244.731647
2017-11,8432.293855
2017-12,8541.261077
2018-01,9007.788336
2018-02,8648.557459
2018-03,8461.921415
2018-04,8560.57034060009
2018-05,8618.416124270901
2018-06,8616.499874142553
2018-07,8889.927298771769
2018-08,9012.71155039258
2018-09,9068.652918830587
2018-10,8406.255889881622
2018-11,8508.612684714693
2018-12,7866.9940226789995
2019-01,8467.382386089817
2019-02,8726.979753806914
2019-03,8853.811400168737
2019-04,9174.39532645289
2019-05,8647.684285187725
2019-06,9222.705401524658
2019-07,9274.440658714697
2019-08,9086.280484268287
2019-09,9283.47442029232
2019-10,9531.449453514088
2019-11,9802.542084441262
2019-12,10101.214982539612
2020-01,10041.773581402273
2020-02,9193.252235501985
2020-03,8009.613086555791
2020-04,8885.26297276243
2020-05,9324.932474045878
2020-06,9572.533692786246
2020-07,10029.842869977045
2020-08,10708.29373090851
2020-09,10347.98012825371
2020-10,10033.892076459984
2020-11,11317.761247246024
2020-12,11803.953678011047
2021-01,11689.586095053433
2021-02,11981.723332040932
2021-03,12380.795876953303
2021-04,12963.568353507664
2021-05,13140.43671776657
2021-06,13347.568063461682
2021-07,13598.540474912152
2021-08,13951.705939223728
2021-09,13371.373146663253
2021-10,14123.478583072036
2021-11,13831.662389388172
2021-12,14424.600146175386
2022-01,13642.549754682983
2022-02,13288.881267279494
2022-03,13649.375574323614
2022-04,12515.784766518898
2022-05,12528.486565174153
2022-06,11455.885560511106
2022-07,12381.593838393814
2022-08,11868.13669344329
2022-09,10766.210795143656
2022-10,11544.66532769358
2022-11,12356.764951816447
2022-12,11839.531300115417
2023-01,12672.059525731154
2023-02,12381.328701288247
2023-03,12786.11564406701
2023-04,13011.329437780729
2023-05,12911.67468937362
2023-06,13695.169879111772
