Date,MSCI ACWI ex ANDEAN
2012-01,1716.681376413007
2012-02,1803.797314971105
2012-03,1816.6401397477962
2012-04,1796.7662117800905
2012-05,1637.3579762026648
2012-06,1719.2078958927063
2012-07,1743.4486819770034
2012-08,1782.5564308027092
2012-09,1839.4036017951214
2012-10,1827.4600983013036
2012-11,1851.9905088027583
2012-12,1894.5367259599461
2013-01,1982.3991191647322
2013-02,1983.3007989669813
2013-03,2020.8104487462247
2013-04,2080.6083491566446
2013-05,2077.297443355184
2013-06,2017.5940439149708
2013-07,2115.5330889481065
2013-08,2072.24459144669
2013-09,2180.144050027525
2013-10,2268.4667310006903
2013-11,2302.3114811560717
2013-12,2343.022201517422
2014-01,2250.3307547705467
2014-02,2360.092016281169
2014-03,2371.366438831314
2014-04,2395.05410250865
2014-05,2448.167166173049
2014-06,2495.371748698995
2014-07,2465.970743444185
2014-08,2521.52527307169
2014-09,2440.949731753365
2014-10,2458.878990243093
2014-11,2501.5205783118636
2014-12,2454.5145360294937
2015-01,2416.9697837280096
2015-02,2552.8093230948275
2015-03,2514.9335743351826
2015-04,2588.7553384561184
2015-05,2587.7357886852783
2015-06,2528.0636968257268
2015-07,2551.411455405152
2015-08,2377.5736742654094
2015-09,2292.5263872572914
2015-10,2473.141706745298
2015-11,2454.299694489893
2015-12,2410.993809234538
2016-01,2265.8648396822014
2016-02,2251.3491871234814
2016-03,2419.4778999515083
2016-04,2456.4078268368085
2016-05,2462.0101825149723
2016-06,2447.9777253599173
2016-07,2554.37350397205
2016-08,2564.3014157544194
2016-09,2581.184726679219
2016-10,2537.6734958061975
2016-11,2558.4873966031296
2016-12,2614.8107070868946
2017-01,2686.7250091244855
2017-02,2763.4170435003007
2017-03,2798.819160990602
2017-04,2843.915162
2017-05,2909.20215
2017-06,2923.70383
2017-07,3006.210711
2017-08,3018.8537
2017-09,3078.360721
2017-10,3143.01199
2017-11,3205.92904
2017-12,3258.017577
2018-01,3442.273419
2018-02,3299.047537
2018-03,3230.232718
2018-04,3262.681027329423
2018-05,3270.125704182438
2018-06,3253.9004446956824
2018-07,3353.124635013855
2018-08,3381.591876015257
2018-09,3397.5224607251002
2018-10,3143.716085642803
2018-11,3191.241734428547
2018-12,2967.446209
2019-01,3202.424706786327
2019-02,3289.737854366257
2019-03,3333.351991195529
2019-04,3448.048767360413
2019-05,3246.551544779111
2019-06,3460.417842667139
2019-07,3472.1138003870633
2019-08,3392.2321772704713
2019-09,3465.0989636990435
2019-10,3561.173575211176
2019-11,3650.262077616459
2019-12,3779.9175611645064
2020-01,3739.53443060241
2020-02,3439.137041696064
2020-03,2977.680097059827
2020-04,3298.0741445570234
2020-05,3443.7705997888866
2020-06,3555.2545223210886
2020-07,3744.551724519661
2020-08,3975.654870623105
2020-09,3849.060130864727
2020-10,3756.330434814615
2020-11,4220.536364718587
2020-12,4417.5788344901
2021-01,4398.867916856066
2021-02,4501.789741847416
2021-03,4624.564362185165
2021-04,4829.354447126147
2021-05,4907.202669973358
2021-06,4973.722692
2021-07,5009.72635025735
2021-08,5136.335020474974
2021-09,4926.414217546074
2021-10,5179.31500785315
2021-11,5056.223913
2021-12,5260.408471160545
2022-01,5002.326158402543
2022-02,4874.252515670807
2022-03,4982.211570864292
2022-04,4585.5681931256195
2022-05,4593.585266885094
2022-06,4208.905801114628
2022-07,4504.287994727423
2022-08,4340.038386274429
2022-09,3926.357010329078
2022-10,4164.291439299698
2022-11,4489.215969323369
2022-12,4314.288679613564
2023-01,4624.527935007672
2023-02,4493.740834817742
2023-03,4635.512014823614
2023-04,4704.434441265461
2023-05,4657.494172844295
2023-06,4929.807827543173
