Date,MSCI EAFE + EM
2003-03,153.45752528396693
2003-04,168.53105117988298
2003-05,179.05909326641046
2003-06,184.02401753428026
2003-07,189.1746858929074
2003-08,194.5706218267191
2003-09,200.1362474329405
2003-10,213.07818650628357
2003-11,217.6261903436833
2003-12,234.51312161303346
2004-01,238.34883546466517
2004-02,244.45520913217428
2004-03,246.10472003030816
2004-04,239.166222521094
2004-05,239.61490151569313
2004-06,244.52894982341397
2004-07,236.98650622200608
2004-08,238.98616226158398
2004-09,246.06186453825518
2004-10,254.19555981916145
2004-11,272.2882864197973
2004-12,284.3734923636204
2005-01,279.8528923610189
2005-02,293.4115704675265
2005-03,284.74109708067715
2005-04,278.2305257124213
2005-05,279.70952609923955
2005-06,284.25096532015345
2005-07,294.4116783214901
2005-08,301.30007425406336
2005-09,316.66567125487717
2005-10,305.89878968506235
2005-11,315.77564161321965
2005-12,331.03935105843414
2006-01,353.7290943754961
2006-02,353.0589502802958
2006-03,363.6195483893408
2006-04,382.4322128759468
2006-05,364.31870853024725
2006-06,364.3292196223551
2006-07,368.2358089523337
2006-08,378.3661835587108
2006-09,379.3955375497484
2006-10,394.66586221590273
2006-11,409.1830394202812
2006-12,422.9252029780705
2007-01,424.67108592055575
2007-02,427.2327360634007
2007-03,439.2642464968262
2007-04,459.3386809768477
2007-05,470.1826925304292
2007-06,474.4826644156702
2007-07,473.1069652419664
2007-08,465.35558299810197
2007-09,495.18376421149213
2007-10,521.5580223884427
2007-11,500.4836309469629
2007-12,491.8902859981818
2008-01,443.2014241122223
2008-02,455.0253171209902
2008-03,446.29705702912975
2008-04,473.4721424597926
2008-05,479.7043931684849
2008-06,438.6970129388075
2008-07,424.1924281934982
2008-08,403.5732357507531
2008-09,342.8173831350236
2008-10,268.7254243776551
2008-11,253.25605574046773
2008-12,269.33782726895305
2009-01,244.62001107768725
2009-02,221.73115817234677
2009-03,239.4089620093727
2009-04,272.297111675282
2009-05,308.02540068569124
2009-06,305.8104379654343
2009-07,335.26915918380513
2009-08,349.1105334003567
2009-09,366.561005407718
2009-10,363.1511076376379
2009-11,372.41888079005275
2009-12,380.04458577394087
2010-01,362.2583984195506
2010-02,360.7185436427507
2010-03,385.0115257173175
2010-04,381.1547239761653
2010-05,340.3026702681504
2010-06,337.209247820104
2010-07,368.28837131577353
2010-08,357.99252538742263
2010-09,394.33880767113425
2010-10,407.8921789761674
2010-11,390.5991808401547
2010-12,421.2782401394695
2011-01,425.69947120158025
2011-02,435.29923640768214
2011-03,434.389438556269
2011-04,457.43357274736474
2011-05,444.86137792232194
2011-06,439.0929997763379
2011-07,433.5387555133757
2011-08,394.57496889553005
2011-09,351.89016837768384
2011-10,389.0173894680492
2011-11,368.4122751514203
2011-12,364.7210129559024
2012-01,389.820570028851
2012-02,412.55754844123305
2012-03,407.6786730507072
2012-04,400.88682260069186
2012-05,355.5739815991089
2012-06,377.67722348507914
2012-07,382.8647169233068
2012-08,390.21065590562256
2012-09,404.93111511451787
2012-10,406.8190785375239
2012-11,415.4826019200776
2012-12,430.6398144111693
2013-01,449.0424399332132
2013-02,444.53073672428224
2013-03,445.50632421337747
2013-04,464.1956867905708
2013-05,453.2527685039545
2013-06,434.17748530339514
2013-07,452.8102319509191
2013-08,446.4898154637389
2013-09,478.70160847099237
2013-10,496.44797757731277
2013-11,497.78741559027526
2013-12,501.96906655542284
2014-01,479.0575819915818
2014-02,503.46675755879727
2014-03,504.59609568786163
2014-04,511.00702612561736
2014-05,521.9647366176445
2014-06,529.18790663759
2014-07,523.6557025002207
2014-08,525.9129975583106
2014-09,501.32649842340146
2014-10,497.1680252264558
2014-11,501.10624887763277
2014-12,482.54845016085164
2015-01,485.0743453951835
2015-02,510.85192502481385
2015-03,503.59296099618734
2015-04,528.685535913878
2015-05,522.0785298755117
2015-06,507.7779866852317
2015-07,507.6940319539012
2015-08,468.55940913097885
2015-09,447.0279203835681
2015-10,481.3339286228702
2015-11,471.43248050480247
2015-12,464.29218822190546
2016-01,431.5105381194556
2016-02,425.31111447716455
2016-03,459.66692017391875
2016-04,470.8545343585962
2016-05,463.9899178907842
2016-06,456.51273066809534
2016-07,479.70528893796984
2016-08,482.9330707025341
2016-09,489.13323250781906
2016-10,481.9426136084929
2016-11,469.19865941718314
2016-12,481.63222433488386
2017-01,498.6533395348113
2017-02,507.87546833747734
2017-03,522.0300034020748
2017-04,535.160358
2017-05,554.415537
2017-06,555.307382
2017-07,575.806642
2017-08,579.095762
2017-09,589.304456
2017-10,601.32266
2017-11,606.358317
2017-12,619.405635
2018-01,655.960948
2018-02,626.275271
2018-03,615.379721
2018-04,625.3797670966161
2018-05,609.8205753265746
2018-06,597.7197577013768
2018-07,612.1779159977539
2018-08,599.199609700781
2018-09,602.4075242028915
2018-10,553.3161366079818
2018-11,558.8879501290587
2018-12,535.304257
2019-01,573.7959902819528
2019-02,584.7280864796326
2019-03,589.2518751227443
2019-04,605.0949569813536
2019-05,572.6931980493811
2019-06,607.4335928456615
2019-07,599.9920971380312
2019-08,580.7182055936114
2019-09,596.0721064499464
2019-10,618.5894115699613
2019-11,623.4192128468328
2019-12,651.3974729033911
2020-01,632.8927394443033
2020-02,582.6599575792653
2020-03,501.76186300331744
2020-04,538.494738442661
2020-05,556.3951248987014
2020-06,582.1242762090543
2020-07,607.7063212517629
2020-08,633.3665235740854
2020-09,619.138049528198
2020-10,606.4035789836273
2020-11,687.8933343229901
2020-12,726.1284981565237
2021-01,728.4418378527243
2021-02,741.1966722078253
2021-03,749.2107949867681
2021-04,770.9237832665258
2021-05,794.2817617248685
2021-06,789.0132499577144
2021-07,775.304438379809
2021-08,791.1828990408146
2021-09,765.9837168972946
2021-10,781.3929419630289
2021-11,746.548236
2021-12,777.2044761851487
2022-01,746.8442983121599
2022-02,730.7983282106949
2022-03,729.4091412811998
2022-04,684.7480942442556
2022-05,689.9410346046087
2022-06,631.9843009258241
2022-07,653.024552979687
2022-08,632.6423286271387
2022-09,568.895065725231
2022-10,584.1414954390772
2022-11,656.3173622794766
2022-12,654.0539903838621
2023-01,706.684789527575
2023-02,682.459449743947
2023-03,701.19118093954
2023-04,713.2149118252997
2023-05,689.077284437197
2023-06,719.2080442349231
