Date,MSCI EM WITH BRAZIL ADR
2011-08,3945.3722980931616
2011-09,3376.1888176790503
2011-10,3809.8464915517425
2011-11,3565.056214577332
2011-12,3524.917361017666
2012-01,3911.114764764805
2012-02,4139.3296914294315
2012-03,4011.3966606072286
2012-04,3971.5236945045203
2012-05,3537.5064192955456
2012-06,3681.0073158871214
2012-07,3753.3090428128967
2012-08,3739.478649191986
2012-09,3972.0337851598156
2012-10,3946.654785241179
2012-11,4000.62090162813
2012-12,4198.056130871898
2013-01,4247.5519411357545
2013-02,4190.992264161574
2013-03,4122.939764284708
2013-04,4156.730425855325
2013-05,4058.0316257123145
2013-06,3811.0378954488965
2013-07,3859.9584031492955
2013-08,3798.5452917540715
2013-09,4038.7353193601803
2013-10,4229.461488634666
2013-11,4180.911059011914
2013-12,4128.556560994534
2014-01,3862.9998017788103
2014-02,3991.3958440967117
2014-03,4096.033512362232
2014-04,4109.9895230050115
2014-05,4263.432666487452
2014-06,4370.077128204849
2014-07,4467.329879516454
2014-08,4549.43504349983
2014-09,4241.115068115585
2014-10,4283.342807259649
2014-11,4245.362339643759
2014-12,4059.168817242131
2015-01,4092.0784614558497
2015-02,4223.849221761359
2015-03,4173.95079422554
2015-04,4488.319044565404
2015-05,4319.242731387261
2015-06,4199.348261035561
2015-07,3916.952529598244
2015-08,3572.566101776343
2015-09,3474.3951070149333
2015-10,3721.933747946415
2015-11,3576.3179347529986
2015-12,3498.4963235531513
2016-01,3272.288187269426
2016-02,3260.8079949937514
2016-03,3679.9571011407247
2016-04,3695.6743101822335
2016-05,3564.1264390412207
2016-06,3695.3182511135574
2016-07,3878.8189182212163
2016-08,3982.049140368909
2016-09,4037.355334407825
2016-10,4033.681728826029
2016-11,3862.099019029473
2016-12,3866.952669054376
2017-01,4078.781301788834
2017-02,4199.504549509414
2017-03,4317.683491559626
2017-04,4412.246497633807
2017-05,4552.639338163399
2017-06,4605.337651856445
2017-07,4877.162401631504
2017-08,4982.756003538039
2017-09,4955.74992235995
2017-10,5142.479795716921
2017-11,5156.3509322952705
2017-12,5348.1845192627125
2018-01,5782.792750673492
2018-02,5517.665883205513
2018-03,5418.554704698597
2018-04,5402.70876002888
2018-05,5232.147864295804
2018-06,5020.44711733767
2018-07,5128.113163874578
2018-08,5004.940788166939
2018-09,4969.955876526252
2018-10,4505.729158947961
2018-11,4699.484815047591
2018-12,4573.20867347009
2019-01,4957.648685591843
2019-02,4976.473319485273
2019-03,5029.993542798787
2019-04,5141.837745760435
2019-05,4750.361784292857
2019-06,5051.731554335039
2019-07,4978.793964403475
2019-08,4741.99193907628
2019-09,4833.900589771424
2019-10,5034.315625731916
2019-11,5032.693544875531
2019-12,5404.298911677842
2020-01,5148.187791981742
2020-02,4890.709181440075
2020-03,4177.390450856138
2020-04,4561.053206059514
2020-05,4589.539623657119
2020-06,4929.304059365499
2020-07,5361.866732633289
2020-08,5498.0289520108845
2020-09,5421.273612646038
2020-10,5540.005055605368
2020-11,6045.420757661747
2020-12,6487.409362593239
2021-01,6701.436092320146
2021-02,6763.034352052248
2021-03,6661.3905749007035
2021-04,6825.277875196024
2021-05,6978.845489766993
2021-06,6989.299641716926
2021-07,6518.414388920905
2021-08,6698.515277377076
2021-09,6448.869176855457
2021-10,6527.402901324729
2021-11,6261.717084
2021-12,6384.467710039385
2022-01,6251.101219935658
2022-02,6060.044838857843
2022-03,5901.5508236352825
2022-04,5589.656171301138
2022-05,5608.168407149951
2022-06,5256.424406107729
2022-07,5241.936759631306
2022-08,5257.782925146568
2022-09,4635.464396930438
2022-10,4474.6540660737355
2022-11,5170.588351384457
2022-12,5100.744612360644
2023-01,5506.282670650925
2023-02,5153.6465390779995
2023-03,5314.21321059371
2023-04,5246.857122623382
2023-05,5156.4811500187125
2023-06,5344.296414838908
