Date,MSCI ACWI ex SPAIN
2013-03,1819.3923216512617
2013-04,1871.1930716826748
2013-05,1868.1747199385495
2013-06,1815.2153151401644
2013-07,1901.186029379343
2013-08,1862.4721654506634
2013-09,1957.5064829174864
2013-10,2035.391525472818
2013-11,2065.5016682533255
2013-12,2101.7028067011056
2014-01,2017.5712291832838
2014-02,2116.1551789119776
2014-03,2126.181181367425
2014-04,2146.989340452828
2014-05,2194.4299955664983
2014-06,2236.761708947246
2014-07,2210.8991836845134
2014-08,2261.697570278573
2014-09,2189.203796532778
2014-10,2206.4322677867226
2014-11,2243.9271392475953
2014-12,2203.0825588669904
2015-01,2170.417515330738
2015-02,2291.850089722015
2015-03,2257.5187649237105
2015-04,2323.9724025114674
2015-05,2323.663478184176
2015-06,2269.939661875091
2015-07,2289.6830522127466
2015-08,2133.762795785893
2015-09,2058.478463632917
2015-10,2220.7664292942522
2015-11,2204.157900813907
2015-12,2166.323757512726
2016-01,2036.6048470092783
2016-02,2024.3857121157907
2016-03,2175.6966941876817
2016-04,2208.2341463050852
2016-05,2213.5374723274335
2016-06,2203.518680468152
2016-07,2298.6800781141187
2016-08,2307.3173821655128
2016-09,2322.281499132274
2016-10,2282.2473449926756
2016-11,2302.986121772191
2016-12,2352.2974888750205
2017-01,2417.1133480087033
2017-02,2486.5752621522365
2017-03,2516.176279970613
2017-04,2555.706556
2017-05,2613.709554
2017-06,2627.232668
2017-07,2701.041932
2017-08,2713.229753
2017-09,2767.020845
2017-10,2825.737904
2017-11,2882.562619
2017-12,2930.845637
2018-01,3095.762596
2018-02,2968.255656
2018-03,2906.439019
2018-04,2935.238941306936
2018-05,2944.373743135534
2018-06,2928.710997016892
2018-07,3017.7464510120594
2018-08,3044.8132800926646
2018-09,3059.452797070742
2018-10,2830.6505925574243
2018-11,2873.292637557471
2018-12,2671.195191
2019-01,2883.2669548965678
2019-02,2961.87220513836
2019-03,3001.7749130112825
2019-04,3104.4523636669487
2019-05,2922.9404584298877
2019-06,3116.1492758231598
2019-07,3127.6137452171984
2019-08,3055.154163448551
2019-09,3120.3422744353657
2019-10,3206.6574653615917
2019-11,3287.1134765465354
2019-12,3404.052774761738
2020-01,3367.7747984474995
2020-02,3096.8641250452283
2020-03,2682.8651306873503
2020-04,2973.4681781090626
2020-05,3104.6093773680786
2020-06,3204.937164713504
2020-07,3376.8139587280825
2020-08,3585.746381554019
2020-09,3471.982339873433
2020-10,3388.764745627592
2020-11,3804.2844163124905
2020-12,3982.8002813902963
2021-01,3966.7239800642706
2021-02,4059.0674409506087
2021-03,4170.216459494218
2021-04,4353.975947178605
2021-05,4422.929805265872
2021-06,4484.686528
2021-07,4517.587397120753
2021-08,4632.323690081353
2021-09,4442.654532877072
2021-10,4670.877387261242
2021-11,4562.158417
2021-12,4745.532212250778
2022-01,4512.474411439576
2022-02,4397.024595930112
2022-03,4495.694256309886
2022-04,4136.139431949655
2022-05,4142.776973374728
2022-06,3795.7499990607994
2022-07,4064.135361006243
2022-08,3916.229865275308
2022-09,3542.8318134291476
2022-10,3756.803179011698
2022-11,4049.540026079161
2022-12,3890.2881476256953
2023-01,4169.13337372421
2023-02,4049.63914712485
2023-03,4177.823667457868
2023-04,4239.412424808844
2023-05,4198.358281608313
2023-06,4443.162803844617
