Date,MSCI EM (EMERGING MARKETS)
2010-07,1761.969007705162
2010-08,1728.3434501364159
2010-09,1920.6469092942423
2010-10,1976.5825892265316
2010-11,1924.4851647723706
2010-12,2062.041870450287
2011-01,2006.4894319680145
2011-02,1988.074247461094
2011-03,2105.274552302284
2011-04,2171.03780147147
2011-05,2114.955510184554
2011-06,2083.309753609183
2011-07,2075.4750746006494
2011-08,1890.7633215322764
2011-09,1615.4189875150712
2011-10,1829.552610233502
2011-11,1707.7187177421051
2011-12,1687.3004497618795
2012-01,1879.0111719188099
2012-02,1991.9108441795067
2012-03,1925.6423769770527
2012-04,1903.1639163095017
2012-05,1690.7215569162463
2012-06,1756.7697531873619
2012-07,1792.3039539560739
2012-08,1787.1240289617704
2012-09,1895.3155066757413
2012-10,1884.0129039585133
2012-11,1908.0708838863695
2012-12,2001.596470008244
2013-01,2029.5042253047234
2013-02,2004.2981769402363
2013-03,1970.2112909731063
2013-04,1985.8333696677369
2013-05,1935.820426776039
2013-06,1813.5031419418517
2013-07,1833.4319236838976
2013-08,1802.6635400354307
2013-09,1920.4642635688333
2013-10,2014.0508444473926
2013-11,1984.7581750918155
2013-12,1956.224461476824
2014-01,1829.6306679534173
2014-02,1890.6236271253363
2014-03,1949.082627208484
2014-04,1956.3394157700002
2014-05,2025.0701147455954
2014-06,2079.7903348671166
2014-07,2121.7132955870393
2014-08,2170.374852895492
2014-09,2009.950708931412
2014-10,2033.8830935376634
2014-11,2012.4924980885974
2014-12,1920.69319630122
2015-01,1932.363180388006
2015-02,1992.4278206769338
2015-03,1964.4942253894044
2015-04,2116.08552877763
2015-05,2031.754677912434
2015-06,1980.535342862104
2015-07,1844.4640283171725
2015-08,1678.279694098731
2015-09,1628.3904810107801
2015-10,1744.6601853230184
2015-11,1676.7234486437444
2015-12,1640.2961999353035
2016-01,1533.975243446094
2016-02,1531.6339178622836
2016-03,1734.6919894958103
2016-04,1744.4657481792765
2016-05,1679.7378014346425
2016-06,1748.5238385280907
2016-07,1837.5214711244926
2016-08,1883.797541282471
2016-09,1908.5806350943933
2016-10,1913.299391940237
2016-11,1825.3449074245887
2016-12,1830.637982284012
2017-01,1930.907642308408
2017-02,1990.1647567575192
2017-03,2040.9023404042641
2017-04,2086.005266
2017-05,2148.112242
2017-06,2171.194692
2017-07,2302.362026
2017-08,2354.57717
2017-09,2345.74858
2017-10,2428.129316
2017-11,2433.136419
2017-12,2521.742733
2018-01,2732.109285
2018-02,2606.494966
2018-03,2558.700655
2018-04,2547.855371563707
2018-05,2458.183912532693
2018-06,2357.686132154082
2018-07,2411.555544168488
2018-08,2347.0574039688045
2018-09,2335.3792443922725
2018-10,2132.2045142820807
2018-11,2220.2258405485995
2018-12,2162.749493
2019-01,2352.279785188658
2019-02,2357.7836242555472
2019-03,2378.030562504908
2019-04,2428.5418826840355
2019-05,2253.0900569499727
2019-06,2395.5368557311026
2019-07,2368.229232460505
2019-08,2253.438796740386
2019-09,2297.198971774255
2019-10,2394.3100344357877
2019-11,2391.172754275368
2019-12,2571.1417851897268
2020-01,2451.3893318427695
2020-02,2322.2591445110543
2020-03,1965.16245418447
2020-04,2145.501396879474
2020-05,2162.4358195389086
2020-06,2322.513063387911
2020-07,2532.134898296147
2020-08,2588.7333912136874
2020-09,2547.8147261017734
2020-10,2600.7004188473934
2020-11,2841.3911584667617
2020-12,3051.6171442743894
2021-01,3145.9730440048197
2021-02,3170.2075107986625
2021-03,3123.1099613931647
2021-04,3201.2895023652745
2021-05,3276.269715991915
2021-06,3283.0226692497954
2021-07,3064.0041179690693
2021-08,3145.1689863700462
2021-09,3021.2830433626314
2021-10,3051.5261330170474
2021-11,2927.417438
2021-12,2983.7658594160403
2022-01,2927.510881427446
2022-02,2840.3592785572105
2022-03,2777.1922254437213
2022-04,2623.1274397409197
2022-05,2635.3333992287894
2022-06,2462.385399720419
2022-07,2458.3989397998666
2022-08,2469.584379806999
2022-09,2181.297221918615
2022-10,2113.8588278297416
2022-11,2427.707445931662
2022-12,2394.8979872913237
2023-01,2584.23018877183
2023-02,2416.8559314228346
2023-03,2491.096293754017
2023-04,2463.3388353503665
2023-05,2422.6756460809947
2023-06,2516.963260990398
