Date,MSCI ARABIAN MARKETS DOMESTIC ex SA
2016-10,840.7775395284591
2016-11,811.0316129625231
2016-12,861.2591433989418
2017-01,893.8030804511418
2017-02,900.410254985377
2017-03,887.8853307378673
2017-04,880.956665
2017-05,882.908638
2017-06,863.356113
2017-07,907.000949
2017-08,905.969405
2017-09,892.6488
2017-10,886.896513
2017-11,848.781559
2017-12,872.410468
2018-01,911.460075
2018-02,889.205822
2018-03,901.488616
2018-04,919.8929993658885
2018-05,889.4481718666635
2018-06,889.9285007407649
2018-07,943.1928754507553
2018-08,941.2493804414382
2018-09,934.8380886956379
2018-10,937.9645617161874
2018-11,932.3825805529482
2018-12,926.9487278855031
2019-01,957.3747596978919
2019-02,954.4336233858191
2019-03,978.2929232379087
2019-04,1020.2818141201619
2019-05,995.4355864953299
2019-06,1007.4468628789182
2019-07,1056.2999017171537
2019-08,1030.3119783965972
2019-09,1003.4567951726741
2019-10,1004.8484981808078
2019-11,1002.709950127793
2019-12,1045.6783800288686
2020-01,1055.8652905574193
2020-02,999.2041643505099
2020-03,793.1984223004744
2020-04,853.887203011717
2020-05,854.3512906726647
2020-06,880.2728889055065
2020-07,884.0481215728273
2020-08,943.6878607879903
2020-09,951.1566513693267
2020-10,948.7023785362021
2020-11,993.3525814941418
2020-12,1012.2565458394976
2021-01,1063.4344770027583
2021-02,1017.2267214597135
2021-03,1044.563798872562
2021-04,1084.049451550783
2021-05,1121.2722170402376
2021-06,1132.2366928521533
2021-07,1146.587353231566
2021-08,1188.1459656664883
2021-09,1203.7275520176177
2021-10,1235.8871795892794
2021-11,1224.667770502576
2021-12,1249.009782470463
2022-01,1300.8047566579064
2022-02,1357.1313556323616
2022-03,1470.5759051597038
2022-04,1487.8894482293183
2022-05,1395.879662299543
2022-06,1302.6535941472684
2022-07,1366.1760164703464
2022-08,1376.558657387677
2022-09,1299.7793104447771
2022-10,1315.2177725051968
2022-11,1328.091766508547
2022-12,1263.7746407993714
2023-01,1217.0843355542802
2023-02,1225.2134126786202
2023-03,1202.334288816104
2023-04,1249.2787095472215
2023-05,1200.8502150411011
2023-06,1231.0275842774909
