Date,MSCI EAFE ex UK
1991-06,1684.843882
1991-07,1745.277036
1991-08,1692.931808
1991-09,1796.149145
1991-10,1838.046762
1991-11,1752.998011
1991-12,1831.5845104999999
1992-01,1788.5634880999999
1992-02,1715.3667619
1992-03,1598.9591931
1992-04,1563.798458
1992-05,1673.2310899
1992-06,1590.2780572
1992-07,1555.3238273
1992-08,1680.3048703
1992-09,1647.0392769999999
1992-10,1572.286876
1992-11,1586.4520679
1992-12,1581.4086263
1993-01,1590.305216
1993-02,1659.797664
1993-03,1810.2635229999999
1993-04,2008.8346749999998
1993-05,2057.485382
1993-06,2023.788924
1993-07,2110.529994
1993-08,2218.451902
1993-09,2164.327476
1993-10,2228.0144799213294
1993-11,1993.4227576755166
1993-12,2136.8220270075153
1994-01,2336.7297754519022
1994-02,2353.7855798971204
1994-03,2264.11862714748
1994-04,2363.317793346708
1994-05,2370.4498849117463
1994-06,2408.90993495566
1994-07,2414.6433345248283
1994-08,2457.9965902322156
1994-09,2387.869756199174
1994-10,2457.2895079734644
1994-11,2337.70234141385
1994-12,2355.203975070088
1995-01,2255.2433377651255
1995-02,2245.7585605246963
1995-03,2381.06417255299
1995-04,2482.3229851620204
1995-05,2436.925156262849
1995-06,2385.9984173455923
1995-07,2538.363387497008
1995-08,2434.9088326123206
1995-09,2477.9445805410155
1995-10,2399.214043685608
1995-11,2477.534918553844
1995-12,2585.0265174223664
1996-01,2599.314452342864
1996-02,2606.3835123902886
1996-03,2676.5438738627336
1996-04,2760.1673968494424
1996-05,2694.21030151476
1996-06,2716.1444982099
1996-07,2618.659765130256
1996-08,2599.3037782706842
1996-09,2671.0345473036614
1996-10,2612.3858663464744
1996-11,2707.1027227260997
1996-12,2644.240546949591
1997-01,2548.9326174764947
1997-02,2582.3486245581935
1997-03,2588.1898904361915
1997-04,2594.520861494202
1997-05,2776.4844198174715
1997-06,2957.1000720049487
1997-07,2985.563862740198
1997-08,2723.462622380305
1997-09,2856.1832148421836
1997-10,2609.0908646175085
1997-11,2572.748487512732
1997-12,2575.925728854209
1998-01,2692.4312688739674
1998-02,2862.1100730240105
1998-03,2933.8618953044697
1998-04,2962.6466241704775
1998-05,2975.3491040448903
1998-06,2992.1654556314556
1998-07,3049.2526869792814
1998-08,2629.150392480915
1998-09,2541.487812624112
1998-10,2840.3951725666466
1998-11,2992.0435567240447
1998-12,3117.421847075489
1999-01,3114.823882493881
1999-02,3001.6808653807616
1999-03,3137.154084739683
1999-04,3266.534583058326
1999-05,3103.047884551911
1999-06,3257.6138392476637
1999-07,3369.0098711523997
1999-08,3389.4012524612085
1999-09,3448.216027799109
1999-10,3585.7049899952094
1999-11,3731.7999613247835
1999-12,4097.8112118571225
2000-01,3865.5883176393036
2000-02,4021.574185364109
2000-03,4145.267899481521
2000-04,3916.7736675538754
2000-05,3831.396961687296
2000-06,4011.267867015517
2000-07,3796.94928563761
2000-08,3828.9860239400937
2000-09,3622.4374469775967
2000-10,3508.441491355042
2000-11,3398.1547547094583
2000-12,3490.8123270302062
2001-01,3504.3047570987706
2001-02,3233.688818222453
2001-03,3001.2728636582547
2001-04,3217.865200012866
2001-05,3105.6496879192305
2001-06,2974.3018863347247
2001-07,2904.626736042308
2001-08,2818.7266604870047
2001-09,2504.8026354804547
2001-10,2573.7018338710322
2001-11,2680.5911279844945
2001-12,2680.7916283304876
2002-01,2528.655363414147
2002-02,2556.8139189555923
2002-03,2703.5980851934605
2002-04,2726.8348397117493
2002-05,2790.9002459672356
2002-06,2683.677949195866
2002-07,2388.4976623884013
2002-08,2391.256487367692
2002-09,2131.8049620280804
2002-10,2226.8983927844497
2002-11,2341.503415579213
2002-12,2252.3980717076815
2003-01,2183.4164033143697
2003-02,2128.103539199515
2003-03,2073.818911025132
2003-04,2275.6215880117475
2003-05,2415.748869816714
2003-06,2490.444132580048
2003-07,2567.963087308355
2003-08,2659.3918494359
2003-09,2737.9311803894007
2003-10,2903.491132163543
2003-11,2961.0162485342803
2003-12,3195.8413662599164
2004-01,3260.4865213615312
2004-02,3311.3548223878515
2004-03,3365.1563852439645
2004-04,3275.4637634678484
2004-05,3270.258437461039
2004-06,3367.9898928924954
2004-07,3234.171183598363
2004-08,3247.959462190868
2004-09,3326.8422805537252
2004-10,3451.6333596156073
2004-11,3692.9759471429097
2004-12,3869.407136689967
2005-01,3784.3433076802116
2005-02,3942.118355136376
2005-03,3846.855791655443
2005-04,3745.4019196591717
2005-05,3765.265769628734
2005-06,3813.9407565124225
2005-07,3952.933545860457
2005-08,4047.8773398250933
2005-09,4267.12498694873
2005-10,4144.682076298298
2005-11,4275.246143085498
2005-12,4498.9857630580855
2006-01,4778.179835923151
2006-02,4775.028237355355
2006-03,4941.5620870106595
2006-04,5164.79519718037
2006-05,4940.892843172566
2006-06,4927.450074185776
2006-07,4956.57664420473
2006-08,5099.688583999312
2006-09,5119.49818386122
2006-10,5301.465734173261
2006-11,5471.007790286844
2006-12,5653.471293900578
2007-01,5706.926251678279
2007-02,5770.547951478161
2007-03,5907.868144023366
2007-04,6177.25741800491
2007-05,6297.2765561376655
2007-06,6285.520670057879
2007-07,6213.286679910637
2007-08,6104.786743849924
2007-09,6464.058180531176
2007-10,6679.803873995845
2007-11,6504.123764107695
2007-12,6366.402982529138
2008-01,5773.4596503015255
2008-02,5875.141464671274
2008-03,5834.720808192829
2008-04,6144.211865888524
2008-05,6245.690845704616
2008-06,5704.039307768765
2008-07,5535.78914978091
2008-08,5300.564720516123
2008-09,4542.211296946683
2008-10,3610.514652204019
2008-11,3428.1879352073147
2008-12,3719.290725722056
2009-01,3321.9057146231144
2009-02,2964.5300001119876
2009-03,3174.645199506451
2009-04,3589.0166758687374
2009-05,4002.7310889522705
2009-06,3989.01716474221
2009-07,4352.372404045086
2009-08,4588.58412751944
2009-09,4777.987928481629
2009-10,4686.8475512980485
2009-11,4770.760407956524
2009-12,4824.788548103952
2010-01,4618.034505487428
2010-02,4596.548097791713
2010-03,4890.561887922954
2010-04,4798.267694564329
2010-05,4246.447557607359
2010-06,4219.524097208973
2010-07,4590.2884511862285
2010-08,4434.318426668511
2010-09,4880.312351154086
2010-10,5052.465074029798
2010-11,4812.104771852588
2010-12,5212.83350034204
2011-01,5342.139402477782
2011-02,5505.146540618951
2011-03,5387.83548160891
2011-04,5700.648737127574
2011-05,5530.666850544974
2011-06,5487.991379780251
2011-07,5377.357392724602
2011-08,4867.0903373424535
2011-09,4395.129072923767
2011-10,4789.070553888025
2011-11,4528.349465287176
2011-12,4472.30141828956
2012-01,4736.4325819589585
2012-02,5017.2690420788695
2012-03,5008.479268169244
2012-04,4870.909357546065
2012-05,4319.514268083023
2012-06,4623.290708493236
2012-07,4675.987020685318
2012-08,4792.273859164943
2012-09,4944.9981825087225
2012-10,4989.590207580231
2012-11,5125.605517415234
2012-12,5307.608028991289
2013-01,5610.50867726396
2013-02,5583.788080041639
2013-03,5627.8153687013755
2013-04,5963.306060313588
2013-05,5785.976252616773
2013-06,5609.062540494155
2013-07,5885.243864949748
2013-08,5793.464553599483
2013-09,6253.300183195693
2013-10,6461.308738307109
2013-11,6507.729452263272
2013-12,6584.087744550441
2014-01,6324.6628265176305
2014-02,6652.314386336387
2014-03,6662.519414129748
2014-04,6710.923166256542
2014-05,6846.331297432827
2014-06,6921.19680395807
2014-07,6772.591832829831
2014-08,6752.959788193332
2014-09,6521.673599654852
2014-10,6442.961619902063
2014-11,6541.51137100206
2014-12,6303.702095919272
2015-01,6360.501529338303
2015-02,6736.533281995799
2015-03,6717.847648711612
2015-04,6951.90311085248
2015-05,6919.201216497485
2015-06,6738.6545419031245
2015-07,6884.8449555934185
2015-08,6380.441272571863
2015-09,6049.229128560507
2015-10,6530.684987487022
2015-11,6441.867138374817
2015-12,6397.77073171613
2016-01,5917.380884188822
2016-02,5797.306569041808
2016-03,6204.329081744271
2016-04,6383.946993382695
2016-05,6329.117307244999
2016-06,6123.4717473234605
2016-07,6468.687180389534
2016-08,6472.697273170515
2016-09,6558.617728729566
2016-10,6471.022520625676
2016-11,6310.125201479097
2016-12,6517.266838843788
2017-01,6730.296536197645
2017-02,6819.135105577449
2017-03,7032.625405923464
2017-04,7225.014032
2017-05,7487.106263
2017-06,7505.297945
2017-07,7727.15587
2017-08,7737.533777
2017-09,7920.147085
2017-10,8056.829814
2017-11,8158.592453
2017-12,8234.451333
2018-01,8683.130453
2018-02,8326.83677
2018-03,8161.708264
2018-04,8315.306102397622
2018-05,8116.642923616539
2018-06,8015.890538871167
2018-07,8241.756288858664
2018-08,8123.51213239212
2018-09,8183.26630491353
2018-10,7511.734748844545
2018-11,7528.0109989210505
2018-12,7147.702495603154
2019-01,7611.295006596084
2019-02,7793.007356594049
2019-03,7845.502505290364
2019-04,8084.34855726559
2019-05,7729.6489122749945
2019-06,8206.044481533641
2019-07,8111.734821893811
2019-08,7936.481565070559
2019-09,8148.696953760595
2019-10,8455.008190929886
2019-11,8542.14432424789
2019-12,8790.113974118576
2020-01,8636.897658963355
2020-02,7905.516372057044
2020-03,6897.781926516344
2020-04,7366.295396005958
2020-05,7735.111359247379
2020-06,8027.288782620486
2020-07,8228.589948875466
2020-08,8673.950492917918
2020-09,8485.600457317863
2020-10,8161.545328274349
2020-11,9412.148906539886
2020-12,9839.062841017523
2021-01,9721.872552161343
2021-02,9919.748594614495
2021-03,10151.410043166796
2021-04,10443.48802383318
2021-05,10782.293102006179
2021-06,10687.801744718989
2021-07,10766.399351959632
2021-08,10973.897919839354
2021-09,10648.958651099958
2021-10,10886.106391820596
2021-11,10394.219232911633
2021-12,10889.76011435818
2022-01,10256.992600730378
2022-02,10030.31451317102
2022-03,10117.617389840247
2022-04,9422.604925229774
2022-05,9492.054146565732
2022-06,8601.945348088033
2022-07,9051.951194802352
2022-08,8638.076712583368
2022-09,7826.622724133314
2022-10,8238.8742581179
2022-11,9176.001792147532
2022-12,9194.364537831692
2023-01,9966.426945736373
2023-02,9718.6229807006
2023-03,10028.268302722947
2023-04,10280.200393519115
2023-05,9903.655738939508
2023-06,10369.656961014169
