Date,GCC COUNTRIES COMBINED
2014-10,907.6800801334055
2014-11,835.1653530315466
2014-12,765.3210807202335
2015-01,787.800010525459
2015-02,833.3864505170725
2015-03,787.0580590514879
2015-04,883.0221153265928
2015-05,858.6180738016079
2015-06,824.241338064739
2015-07,829.3263996094817
2015-08,727.0048657826534
2015-09,713.8125285699548
2015-10,694.201404515725
2015-11,675.0767349847129
2015-12,658.990537101155
2016-01,579.3340211969476
2016-02,615.3857895326681
2016-03,636.9407221310767
2016-04,680.236215778641
2016-05,644.2947516499266
2016-06,651.0948822437294
2016-07,657.0479677907013
2016-08,651.3652883588221
2016-09,624.9063930927101
2016-10,645.4217691340993
2016-11,695.9372639652884
2016-12,721.3274583614462
2017-01,729.4520041694992
2017-02,724.9769122433833
2017-03,726.1408745116862
2017-04,724.024001
2017-05,722.674437
2017-06,757.797715
2017-07,752.60012
2017-08,764.612786
2017-09,759.108157
2017-10,738.327782
2017-11,730.422851
2017-12,754.790786
2018-01,799.053609
2018-02,775.955702
2018-03,822.10117
2018-04,854.6320834390334
2018-05,858.2386890780774
2018-06,868.1332671017205
2018-07,901.3375581642758
2018-08,881.6414314711835
2018-09,880.3900745662783
2018-10,891.3364850871809
2018-11,872.8397384414005
2018-12,880.9079325631108
2019-01,946.8333197077048
2019-02,941.7955254033868
2019-03,974.6611136569602
2019-04,1036.9915992535912
2019-05,970.7542203918905
2019-06,991.860379414966
2019-07,1005.0629432231091
2019-08,941.7343425836532
2019-09,933.872904115288
2019-10,909.4212948108609
2019-11,920.322538886248
2019-12,969.5586795946292
2020-01,953.6428341116973
2020-02,886.6969843191971
2020-03,747.1881385814617
2020-04,814.9565778571435
2020-05,819.628807714174
2020-06,837.809968884718
2020-07,848.3598058619021
2020-08,900.2118687309496
2020-09,916.7603872571176
2020-10,897.9232128297663
2020-11,968.4407731187052
2020-12,970.0782458905995
2021-01,997.6194247439335
2021-02,1028.5434153640806
2021-03,1106.8198105639717
2021-04,1162.1761927133457
2021-05,1178.291763941882
2021-06,1213.4213324712546
2021-07,1228.7174450889613
2021-08,1285.4168086975312
2021-09,1316.195150684726
2021-10,1363.8007901808592
2021-11,1294.2584518479184
2021-12,1346.2912984762484
2022-01,1446.0350023496544
2022-02,1509.209883292495
2022-03,1597.7108938735082
2022-04,1660.1098301078039
2022-05,1537.7416292440091
2022-06,1384.3388017077266
2022-07,1466.946904297591
2022-08,1481.6239576054245
2022-09,1378.7780509159384
2022-10,1417.6968840606694
2022-11,1358.6115525072114
2022-12,1290.8007158637542
2023-01,1310.5047363216581
2023-02,1245.8265735424277
2023-03,1272.0099186324237
2023-04,1336.2034997846984
2023-05,1288.349876126951
2023-06,1324.8344817824968
