Date,MSCI ACWI ex BELGIUM
2006-04,1430.0536444520144
2006-05,1374.8250379164633
2006-06,1374.856379948999
2006-07,1384.4144998463387
2006-08,1420.8387784564718
2006-09,1437.6215260414715
2006-10,1491.8925056318667
2006-11,1534.8725498510078
2006-12,1569.291370489644
2007-01,1585.3098260114612
2007-02,1577.5891998160157
2007-03,1609.6999947480117
2007-04,1681.9807795227646
2007-05,1733.7985030192744
2007-06,1729.3463665216675
2007-07,1703.578582944816
2007-08,1699.8358570619948
2007-09,1791.8766892179117
2007-10,1862.0864210745765
2007-11,1780.9415270456643
2007-12,1761.7650586886966
2008-01,1618.0404075197544
2008-02,1623.2001068176328
2008-03,1599.5446559329437
2008-04,1689.9781088598868
2008-05,1718.910058694084
2008-06,1579.2713046369074
2008-07,1539.1692706728595
2008-08,1506.547371874886
2008-09,1319.6950450426175
2008-10,1059.33277365086
2008-11,990.5324673452857
2008-12,1026.7203503683984
2009-01,939.0724946129073
2009-02,847.6883300448749
2009-03,918.0291671133594
2009-04,1027.2080454311342
2009-05,1130.6105639101556
2009-06,1124.7820460874836
2009-07,1224.195994143382
2009-08,1268.1793110272715
2009-09,1326.6254016403932
2009-10,1306.4152797502795
2009-11,1360.7497388928045
2009-12,1389.45561681688
2010-01,1329.5842542178964
2010-02,1347.155096189751
2010-03,1434.670847044906
2010-04,1438.0370114385732
2010-05,1302.8729112962956
2010-06,1263.1260971924796
2010-07,1366.199139876471
2010-08,1319.0008514627145
2010-09,1445.499320057982
2010-10,1497.9999916454476
2010-11,1465.8856568820697
2010-12,1573.762642769163
2011-01,1598.7995395124258
2011-02,1646.0253150378655
2011-03,1645.0132869708075
2011-04,1712.7709738226358
2011-05,1677.7035571025801
2011-06,1652.084410029654
2011-07,1625.8817220574872
2011-08,1507.7113275343474
2011-09,1365.9446274373577
2011-10,1512.9217447737828
2011-11,1468.3606291141903
2011-12,1465.9157158421012
2012-01,1551.6611906753105
2012-02,1630.2914543124539
2012-03,1641.6715383103478
2012-04,1623.983399892378
2012-05,1479.7967413845236
2012-06,1553.241426682646
2012-07,1575.0562275617378
2012-08,1609.8546782720744
2012-09,1661.2392779802058
2012-10,1650.5918993041566
2012-11,1672.2560280055966
2012-12,1710.9686716592482
2013-01,1790.3952246761728
2013-02,1790.6907418583346
2013-03,1824.2433906027736
2013-04,1877.6786913723067
2013-05,1874.184099143497
2013-06,1820.278702231437
2013-07,1907.7618922979616
2013-08,1868.7701938280975
2013-09,1965.889315001503
2013-10,2045.274582087369
2013-11,2075.290854830146
2013-12,2111.6298025672545
2014-01,2027.8286994642876
2014-02,2126.424924226006
2014-03,2137.0752822202658
2014-04,2158.423949931187
2014-05,2206.2450998312197
2014-06,2248.79438285802
2014-07,2222.4868599826364
2014-08,2272.466568230386
2014-09,2199.5462191727024
2014-10,2215.8026016278855
2014-11,2253.4064467374037
2014-12,2210.9728946809755
2015-01,2176.3182182612954
2015-02,2298.516299994791
2015-03,2264.493966102488
2015-04,2331.450820019744
2015-05,2330.169994184244
2015-06,2276.152305693535
2015-07,2296.627150842642
2015-08,2140.140805275074
2015-09,2063.491237864994
2015-10,2225.811751062855
2015-11,2207.8258731639403
2015-12,2168.869985628023
2016-01,2038.1984423799427
2016-02,2025.9984017555191
2016-03,2177.50490282591
2016-04,2210.920939346285
2016-05,2215.37022111246
2016-06,2203.1749928935324
2016-07,2299.0939307773133
2016-08,2308.0552407663786
2016-09,2322.8510589281664
2016-10,2284.7145189386833
2016-11,2303.7780887749304
2016-12,2354.4750059616704
2017-01,2419.5982440131647
2017-02,2488.63540791073
2017-03,2520.573956223934
2017-04,2560.854842
2017-05,2619.354875
2017-06,2632.731233
2017-07,2706.701881
2017-08,2718.57326
2017-09,2772.115542
2017-10,2830.36791
2017-11,2886.888049
2017-12,2934.670297
2018-01,3100.867996
2018-02,2971.836672
2018-03,2909.832757
2018-04,2939.6988279554885
2018-05,2946.461590680178
2018-06,2931.339765266706
2018-07,3020.7807664966135
2018-08,3046.441552051876
2018-09,3061.2482095472187
2018-10,2832.9199715419104
2018-11,2875.6434285209743
2018-12,2674.458395
2019-01,2886.3040346926177
2019-02,2964.827986536364
2019-03,3003.7949850655464
2019-04,3106.795878717452
2019-05,2925.259582194058
2019-06,3118.183426058415
2019-07,3127.869356198821
2019-08,3055.36240734343
2019-09,3120.9975314566777
2019-10,3207.9514116214077
2019-11,3287.7230932309076
2019-12,3404.9419030372997
2020-01,3368.4263240290866
2020-02,3098.486946064604
2020-03,2682.2664371599285
2020-04,2971.2385019165336
2020-05,3102.5055276345765
2020-06,3202.8371177621075
2020-07,3373.5220796925573
2020-08,3581.6699457503805
2020-09,3467.631188202098
2020-10,3384.5046537018475
2020-11,3802.027499630201
2020-12,3980.1930284287314
2021-01,3963.253725267839
2021-02,4056.590108842518
2021-03,4167.275938341132
2021-04,4350.9382175686715
2021-05,4420.670428087077
2021-06,4480.738685
2021-07,4513.204165203406
2021-08,4627.757845370519
2021-09,4438.612429695457
2021-10,4666.51300563092
2021-11,4556.048991
2021-12,4739.534122934624
2022-01,4507.661280149865
2022-02,4392.412475693281
2022-03,4490.2825736497925
2022-04,4132.2874736426
2022-05,4140.283534303563
2022-06,3792.7071962087007
2022-07,4059.5625706520254
2022-08,3912.0427082616197
2022-09,3538.900306386275
2022-10,3753.1920465401054
2022-11,4045.8591554030545
2022-12,3887.53924904597
2023-01,4167.456936660291
2023-02,4049.2338060976085
2023-03,4176.970811502456
2023-04,4239.003248818678
2023-05,4197.637348911273
2023-06,4443.401667764708
