Date,MSCI EFM EUROPE + CIS (E+C)
2009-03,311.4358011777474
2009-04,382.27770150876705
2009-05,476.7204550469788
2009-06,438.2727438204434
2009-07,494.6884347238479
2009-08,514.9412328193235
2009-09,565.2516001374613
2009-10,582.7626429345412
2009-11,593.9351199877523
2009-12,616.1234034430091
2010-01,627.8628090740189
2010-02,589.62426706936
2010-03,653.8987238007154
2010-04,657.1637655895006
2010-05,575.8225068528578
2010-06,552.423248254694
2010-07,625.0601245771909
2010-08,603.5288789934162
2010-09,661.1268975255958
2010-10,692.222627281122
2010-11,661.2296549282355
2010-12,716.980013607069
2011-01,732.3976521502726
2011-02,760.7412176665467
2011-03,801.4308517572069
2011-04,832.7705590268113
2011-05,778.5686230281076
2011-06,775.8595560633528
2011-07,774.8228264817212
2011-08,672.9165033570414
2011-09,548.3398296213393
2011-10,626.0702751631641
2011-11,608.2305730784316
2011-12,549.808566360353
2012-01,631.0835620217379
2012-02,683.1485683290139
2012-03,654.9450106280472
2012-04,637.4276675924114
2012-05,526.1209132424864
2012-06,587.3898035984123
2012-07,600.0464437230511
2012-08,615.537347610616
2012-09,644.8152960110846
2012-10,641.5756580500748
2012-11,645.1779234401195
2012-12,685.7999046495966
2013-01,711.8587288614524
2013-02,680.4981548525351
2013-03,668.9981634947158
2013-04,666.159699549796
2013-05,656.3304849377587
2013-06,612.1379185430401
2013-07,627.3506114945352
2013-08,613.4100640287367
2013-09,671.2713776084439
2013-10,703.6388040336712
2013-11,679.6382753242284
2013-12,662.7491167061595
2014-01,603.318170710185
2014-02,615.7119489039716
2014-03,619.5736632602626
2014-04,603.4855029416307
2014-05,653.2777804332943
2014-06,668.0046530888576
2014-07,630.5765736943616
2014-08,624.2650221455362
2014-09,588.6935652470988
2014-10,579.8851056780782
2014-11,555.6013132374437
2014-12,471.01696139818654
2015-01,453.1679157220996
2015-02,495.20697723266056
2015-03,477.85287997785116
2015-04,535.6921452349759
2015-05,511.45523998702345
2015-06,499.4323294948149
2015-07,479.3175597943734
2015-08,444.0740393975081
2015-09,424.6257799222001
2015-10,448.36404806567344
2015-11,430.9761071163468
2015-12,403.76718459577376
2016-01,391.475299768044
2016-02,396.98871641184894
2016-03,460.18838743027067
2016-04,476.43217241365676
2016-05,445.810007836649
2016-06,443.437200143303
2016-07,450.6174237678401
2016-08,458.45133204590445
2016-09,465.50587366375817
2016-10,470.8638368441811
2016-11,464.77510030928323
2016-12,507.28052699057525
2017-01,517.286810173918
2017-02,507.8559145134636
2017-03,516.0111587543958
2017-04,539.045535
2017-05,532.534609
2017-06,530.915701
2017-07,559.130079
2017-08,594.770064
2017-09,586.506253
2017-10,585.898826
2017-11,586.888397
2017-12,617.814297
2018-01,680.577615
2018-02,662.28542
2018-03,632.412056
2018-04,603.3513085100773
2018-05,572.0058585630342
2018-06,570.204601219792
2018-07,592.0900074117562
2018-08,548.8487139601369
2018-09,584.6321425358955
2018-10,553.2402027723994
2018-11,566.0785636326104
2018-12,550.249756
2019-01,610.7518848521814
2019-02,599.0892580271619
2019-03,591.5788627341027
2019-04,606.7222779547579
2019-05,615.4842342084719
2019-06,663.6652572850194
2019-07,668.0050863137094
2019-08,628.9079132849671
2019-09,649.4578311275891
2019-10,691.5684924821531
2019-11,689.3421847506935
2019-12,734.8501289338387
2020-01,709.7374755199343
2020-02,607.6009507184517
2020-03,469.58621292887534
2020-04,516.5765734390582
2020-05,558.429195710137
2020-06,557.9423217026277
2020-07,572.8671126662292
2020-08,575.468721404115
2020-09,533.3274762461357
2020-10,483.06455385548713
2020-11,591.0541245455079
2020-12,652.7282450742204
2021-01,639.1030302719522
2021-02,646.9745245459815
2021-03,658.9321115206774
2021-04,672.6124986104372
2021-05,738.8848740932833
2021-06,751.1820154401423
2021-07,756.0173925172448
2021-08,790.9183092695836
2021-09,810.7272695485815
2021-10,842.1651192048685
2021-11,755.1145417251412
2021-12,754.0378093351827
2022-01,710.6674855324471
2022-02,447.97601788338136
2022-03,246.54358687817628
2022-04,225.44086517250688
2022-05,220.82823364481968
2022-06,199.6942602371694
2022-07,202.66493002277417
2022-08,198.74384820428187
2022-09,177.33945692474677
2022-10,201.84174868353048
2022-11,232.9112238803936
2022-12,244.3726999178195
2023-01,253.50149853750824
2023-02,258.67906390639195
2023-03,250.47626615489568
2023-04,263.56261147457707
2023-05,258.71544149764486
2023-06,276.4478619096658
